SESSION_ID,EVENT_ID,EVENT_TIMESTAMP,PAGE_URL,PUBLISHER_ORDER_ID,ML_MODEL,WIDGET_TYPE,CONV_ORDER_ID,EVENT_CREATED_AT,CUSTOMER_TYPE,EVENT_CLASSIFICATION,DAYS_TO_ATTRIBUTION,DISCOUNT_CODES,EVENT_ORDER_ID_MATCH,IP_MATCH,USER_AGENT_MATCH
166f9582-cffe-447d-bd44-f6ff6dd31bd4,ea2ed407-c7d6-4cf0-8b45-5d7de505ba08,2024-03-17T15:17:33.479Z,https://twillory.com/checkouts/cn/e5b52f9aa353b7eea09d950c49e02e5d/thank_you,,contextual,LEAD_GEN,5252562944060,2024-03-17T15:17:33.479Z,returning,click,6,,FALSE,FALSE,FALSE
9ce29464-e796-4447-8415-33dce4871382,5e9ebcd0-d572-4ead-a9e3-e54d2d120017,2024-03-21T02:19:32.525Z,https://twillory.com/10424718/orders/4512993543354c03d39752a25200daaa,,contextual,LEAD_GEN,5253549523004,2024-03-21T02:19:32.525Z,returning,display,2,,FALSE,FALSE,FALSE
680b3392-d88c-47e4-947b-870fe4f6b10b,80e039e5-43ce-45f2-b91c-399deb47802d,2024-03-23T02:03:25.148Z,https://twillory.com/10424718/orders/aee94438913d09dc257ebf7bc4112353,,bert4recs1,DISCOFEED,5253952634940,2024-03-23T02:03:25.148Z,returning,display,1,,FALSE,FALSE,FALSE
6dafc21c-ad8c-4875-9c57-ba6fa7064d14,e8d8d48a-947f-4f5f-97ff-dad58b7398ac,2024-03-21T18:06:28.457Z,https://twillory.com/10424718/orders/445c516382da8c21788f65ac1109680b,,contextual,LEAD_GEN,5253951455292,2024-03-21T18:06:28.457Z,new,display,3,HELLOGSZFZX35,FALSE,FALSE,TRUE
857bb4c2-9587-4acb-bd4a-d5316851e7bf,ad271e24-cce2-42fc-bad8-6ed2ce482fd3,2024-03-21T22:03:27.086Z,https://twillory-test.myshopify.com/10424718/orders/7c9d0c66ff2d3475fed9bce5a0310121,,contextual,LEAD_GEN,5253972099132,2024-03-21T22:03:27.086Z,lapsed,display,3,SAVE20,FALSE,FALSE,TRUE
f5e58518-9b8f-48fe-bf4d-9a00ca696395,26809bf5-4790-4637-8059-f9a661889821,2024-03-24T19:16:18.302Z,https://twillory.com/checkouts/cn/11025d58bf7aa0bd06be7dcc89b5cd48/thank_you,,bert4recs1,DISCOFEED,5255075070012,2024-03-24T19:16:18.302Z,new,display,0,HELLOR43DQMDD,FALSE,FALSE,FALSE
e8516d0b-cd6c-431d-913a-0c3a5c5b2baf,ac5eef78-f654-4cb1-b6de-02a8d3fe032f,2024-03-24T03:01:46.713Z,https://twillory.com/checkouts/cn/c169940ff49b21bf7ea4bdbdfaa83e8f/thank_you,,contextual,LEAD_GEN,5254925713468,2024-03-24T03:01:46.713Z,returning,display,0,,FALSE,FALSE,FALSE
6634bd79-32e9-486f-8683-781c3d4fee9b,fdc7b9cc-93da-4bba-a3ad-5fc99a62e383,2024-03-24T14:11:14.303Z,https://twillory.com/checkouts/cn/8a5833f27a8e02896729dcb4d9bbf08b/thank_you,,contextual,LEAD_GEN,5254986661948,2024-03-24T14:11:14.303Z,new,display,0,SAVE20,FALSE,FALSE,FALSE
4d3f553b-6ad0-4d54-9cfb-f3539bc1d55e,c5a6a770-0459-49d9-9dec-b8e7c920f242,2024-03-24T04:57:07.323Z,https://twillory.com/checkouts/cn/f31113dcf45bd6f5db807ae97f7d16d0/thank_you,,contextual,LEAD_GEN,5254943965244,2024-03-24T04:57:07.323Z,new,display,0,,FALSE,FALSE,FALSE
d018fac2-395b-438f-97fc-325f4e996204,0919b966-4eeb-43ec-b19f-dbc3c7a7c3af,2024-03-24T05:37:42.504Z,https://twillory.com/checkouts/cn/f4707379d32f6d838178d94720dc577f/thank_you,,contextual,LEAD_GEN,5254951600188,2024-03-24T05:37:42.504Z,returning,display,0,SAVE15,FALSE,FALSE,FALSE
7774dac7-8340-47b0-a6c8-d13558b6691c,5ad375fc-ba74-47c5-8c1d-f89f98de2ab1,2024-03-24T01:04:14.705Z,https://twillory.com/checkouts/cn/d9d8ef37309d7d5481b1c2ad9ce45cee/thank_you,,bert4recs1,DISCOFEED,5254891307068,2024-03-24T01:04:14.705Z,new,display,0,,FALSE,FALSE,FALSE
f071c3d5-5c00-4f9f-872b-0c688c8c35cd,4c90c8bf-38e6-4c8d-9a31-35a5a1f8a8d1,2024-03-23T23:54:35.155Z,https://twillory.com/checkouts/cn/bf0c752744b61bc112fa468401d2e784/thank_you,,bert4recs1,DISCOFEED,5254862340156,2024-03-23T23:54:35.155Z,returning,display,1,SAVE15,FALSE,FALSE,FALSE
385cb1bf-20ab-47d9-aa6a-6df9cfaff2f8,c303ba34-233a-49f8-a9eb-ee7270cc1acd,2024-03-23T22:01:29.979Z,https://twillory.com/checkouts/cn/7ecabe363550665b939036b7c84baa49/thank_you,,contextual,LEAD_GEN,5254832390204,2024-03-23T22:01:29.979Z,returning,display,1,SAMANTHA20,FALSE,FALSE,FALSE
0fe15824-1141-4443-a56a-d8d8e58c808d,369328a7-a73a-4c24-a868-62fd8621dac2,2024-03-24T00:23:57.407Z,https://twillory.com/checkouts/cn/69ad8cbca65d96a05a7e50096e2a677f/thank_you,,contextual,LEAD_GEN,5254880034876,2024-03-24T00:23:57.407Z,returning,display,0,,FALSE,FALSE,FALSE
e04e88a4-6a83-4dc6-ad7e-9fec14e50ec7,28a8d84b-8369-4cc4-9e48-f4c1ae69afe4,2024-03-24T01:51:41.157Z,https://twillory.com/checkouts/cn/b814ce5c575a94b3ff46137ea8eab648/thank_you,,contextual,LEAD_GEN,5254900416572,2024-03-24T01:51:41.157Z,new,display,0,,FALSE,FALSE,FALSE
2fc9bcfc-172e-4cf9-bafc-104a3e80bc58,67cdc72d-91b9-4aa3-b7fe-df845ad703cc,2024-03-24T03:29:57.752Z,https://twillory.com/checkouts/cn/e6e38cbb1b642daeb7c4d48d38f4debb/thank_you,,bert4recs1,DISCOFEED,5254933348412,2024-03-24T03:29:57.752Z,lapsed,display,0,SAVE20,FALSE,FALSE,TRUE
9cae6af1-9501-43b9-8005-af698c42057b,be38e99a-4ae7-4dc6-a3ef-bf9101bdabac,2024-03-23T19:14:50.739Z,https://twillory.com/checkouts/cn/23f6ab8238e452609ffed1b5b051d91c/thank_you,,contextual,LEAD_GEN,5256303247420,2024-03-23T19:14:50.739Z,new,display,2,15FORYOU,FALSE,FALSE,FALSE
