PUBLISHER,BRAND_NAME,CPA,CPO,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Rank
Tushbaby,Caraway,,,572,0,0.0,0.0,0.0,52.72,0.9342348572705317,4.0
Tushbaby,Dreamland Baby,,,1770,9,360.0,203.39,0.005085,40.0,0.9139005628318209,5.0
Tushbaby,Once Upon a Farm,,,342,0,0.0,0.0,0.0,40.0,0.8935939312047154,6.0
Tushbaby,Willow Pumps,,,2533,1,40.0,15.79,0.000395,40.0,0.872785113151539,7.0
Tushbaby,Nanit,,,3847,2,75.0,19.5,0.00052,37.5,0.8477885710029898,8.0
Tushbaby,Blueland,33.0,0.0,589,0,0.0,0.0,0.0,33.0,0.829948185425954,9.0
Tushbaby,Kate Quinn,,,821,0,0.0,0.0,0.0,30.0,0.8089201927885177,10.0
Tushbaby,Kopari,,,187,1,30.0,160.43,0.005348,30.0,0.7869495366479055,11.0
Tushbaby,Posh Peanut,35.0,0.0,2281,3,90.0,39.46,0.001315,30.0,0.7663449978188939,12.0
Tushbaby,Vegamour,50.0,0.0,1368,2,55.0,40.2,0.001462,27.5,0.723829384289651,13.0
Tushbaby,Caden Lane,,,7649,25,596.0,77.92,0.003268,23.84,0.6987094234431689,14.0
Tushbaby,Morphe,,,775,0,0.0,0.0,0.0,38.24,0.6606326272223345,15.0
Tushbaby,Gathre,,,596,0,0.0,0.0,0.0,20.0,0.6383108661651895,16.0
Tushbaby,For Days,30.0,15.0,249,1,15.0,60.24,0.004016,15.0,0.6080413665428933,17.0
Tushbaby,Bodily,,,2116,9,200.0,94.52,0.004253,22.22,0.5926991456447032,18.0
Tushbaby,HATCH,40.0,10.0,480,2,50.0,104.17,0.004167,25.0,0.5511730096075073,19.0
Tushbaby,Sol de Janeiro,20.0,10.0,117,0,0.0,0.0,0.0,13.41,0.5315090063730863,20.0
Tushbaby,Coterie,,,1054,1,16.5,15.65,0.000949,16.5,0.5080466863143559,21.0
Tushbaby,Snuggle Me Organic,,,5529,1,20.0,3.62,0.000181,20.0,0.49174903446147955,22.0
Tushbaby,Little Words Project,,,996,2,20.0,20.08,0.002008,10.0,0.3836385108895722,23.0
Tushbaby,Dropps,25.0,0.0,218,1,5.0,22.94,0.004587,5.0,0.36330421645086136,24.0
Tushbaby,Saranoni Luxury Blankets,,,338,0,0.0,0.0,0.0,11.3,0.33949930310993837,25.0
Tushbaby,Liquid I.V.,,,3748,0,0.0,0.0,0.0,41.9,0.32183978976263183,26.0
Tushbaby,ByHeart,30.0,20.0,177,3,40.0,225.99,0.016949,13.33,0.29678366617370117,27.0
Tushbaby,Coco Moon,,,225,0,0.0,0.0,0.0,10.0,0.27258721765312965,28.0
Tushbaby,"Dermaclara, LLC",,,268,0,0.0,0.0,0.0,12.37,0.2581323346349041,29.0
Tushbaby,SolaWave,,,178,0,0.0,0.0,0.0,28.75,0.23671706263498926,30.0
Tushbaby,Carve Designs,,,156,0,0.0,0.0,0.0,26.36,0.21442509229803483,31.0
Tushbaby,Volcom,15.0,8.0,189,0,0.0,0.0,0.0,10.33,0.1942184723744268,32.0
Tushbaby,woolino,,,137,1,5.0,36.5,0.007299,5.0,0.1731628169253849,33.0
Tushbaby,Bad Birdie,,,332,0,0.0,0.0,0.0,25.0,0.04833969932651694,34.0
Tushbaby,Buffbunny Collection,,,313,1,4.0,12.78,0.003195,4.0,0.021855749077019655,35.0
Tushbaby,Newton Baby,,,6015,3,9.0,1.5,0.000499,3.0,0.003594037600144698,36.0
Tushbaby,ARMRA Colostrum™,,,170,0,0.0,0.0,0.0,50.0,0.0,37.0
Tushbaby,Muslin Comfort,,,364,1,5.0,13.74,0.002747,5.0,0.0,38.0
Tushbaby,BlendJet,,,1682,1,5.0,2.97,0.000595,5.0,0.0,39.0
Tushbaby,Otteroo,,,2348,2,7.5,3.19,0.000852,3.75,0.0,40.0
Tushbaby,MANSCAPED,,,348,0,0.0,0.0,0.0,0.01,0.0,41.0
Tushbaby,M.M.LaFleur,,,1125,0,0.0,0.0,0.0,75.96,0.0,42.0
Tushbaby,Dr. Squatch,25.0,0.0,133,0,0.0,0.0,0.0,8.93,0.0,43.0
Tushbaby,ezpz,,,1668,1,10.0,6.0,0.0006,10.0,0.0,44.0
Tushbaby,Character Home,150.0,50.0,821,0,0.0,0.0,0.0,126.67,0.0,45.0
Tushbaby,Serenity Kids,,,376,0,0.0,0.0,0.0,30.0,0.0,46.0
Tushbaby,NOMAD Grills,,,513,0,0.0,0.0,0.0,150.0,0.0,47.0
Tushbaby,Yana Sleep,,,131,0,0.0,0.0,0.0,22.841173952230736,0.0,48.0
Tushbaby,Canopy,,,1776,0,0.0,0.0,0.0,15.0,0.0,49.0
Tushbaby,True Classic,45.0,0.0,695,0,0.0,0.0,0.0,44.79,0.0,50.0
Tushbaby,Laura Geller,,,312,0,0.0,0.0,0.0,14.97,0.0,51.0
Buffbunny Collection,Tula Skincare,,,7704,2,100.0,12.98,0.00026,50.0,0.9787336816010386,1.0
Buffbunny Collection,Divi,,,1282,3,150.0,117.0,0.00234,50.0,0.9555969315558205,2.0
Buffbunny Collection,Caraway,,,479,0,0.0,0.0,0.0,52.72,0.9342348572705317,3.0
Buffbunny Collection,Dreamland Baby,,,165,0,0.0,0.0,0.0,40.0,0.9139005628318209,4.0
Buffbunny Collection,Willow Pumps,,,175,0,0.0,0.0,0.0,40.0,0.872785113151539,5.0
Buffbunny Collection,Blueland,33.0,0.0,394,1,33.0,83.76,0.002538,33.0,0.829948185425954,6.0
Buffbunny Collection,Kopari,,,879,1,30.0,34.13,0.001138,30.0,0.7869495366479055,7.0
Buffbunny Collection,Posh Peanut,35.0,0.0,132,0,0.0,0.0,0.0,27.5,0.7663449978188939,8.0
Buffbunny Collection,Vegamour,50.0,0.0,5900,4,65.0,11.02,0.000678,16.25,0.723829384289651,9.0
Buffbunny Collection,Caden Lane,,,3549,4,116.0,32.69,0.001127,29.0,0.6987094234431689,10.0
Buffbunny Collection,Morphe,,,5195,1,45.0,8.66,0.000192,45.0,0.6606326272223345,11.0
Buffbunny Collection,Snuggle Me Organic,,,594,0,0.0,0.0,0.0,17.11,0.49174903446147955,12.0
Buffbunny Collection,Tushbaby,,,245,0,0.0,0.0,0.0,14.89,0.47037419272468056,13.0
Buffbunny Collection,Monica & Andy Inc.,,,138,0,0.0,0.0,0.0,21.45,0.4449031269616658,14.0
