PUBLISHER,BRAND_NAME,DISPLAY_CUSTOMER_TYPE,DISTINCT_MERCHANTS_AT_LOAD_TIME,ML_MODEL,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,REVENUE_PER_BRAND_IMPRESSION,CVR
Toad&Co,Laura Geller,new_customer,1,boost5,212,0,$0.00,$0.0000,0.0000%
Willow Pumps,Sol de Janeiro,new_customer,1,boost5,212,0,$0.00,$0.0000,0.0000%
Volcom,Dr. Squatch,new_customer,0,lookalike,212,0,$0.00,$0.0000,0.0000%
Beginning Boutique,BlendJet,new_customer,0,lookalike,212,0,$0.00,$0.0000,0.0000%
OUAI,Kosas Cosmetics,new_customer,1,boost5,212,0,$0.00,$0.0000,0.0000%
Morphe,Character Home,new_customer,2,boost5,212,0,$0.00,$0.0000,0.0000%
Posh Peanut,Laura Geller,new_customer,2,boost5,211,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Bodily,new_customer,3,boost5,211,0,$0.00,$0.0000,0.0000%
Create,Dr. Squatch,new_customer,2,boost5,211,0,$0.00,$0.0000,0.0000%
SENREVE,Vegamour,new_customer,1,boost5,211,0,$0.00,$0.0000,0.0000%
Coterie,Dreamland Baby,new_customer,2,boost5,211,0,$0.00,$0.0000,0.0000%
Hedley & Bennett,BlendJet,new_customer,1,bert4recs1,211,0,$0.00,$0.0000,0.0000%
Lunya,Vegamour,new_customer,0,contextual,211,0,$0.00,$0.0000,0.0000%
Ursa Major,True Classic,new_customer,2,boost5,211,0,$0.00,$0.0000,0.0000%
Ancient Nutrition,Sol de Janeiro,new_customer,2,boost5,211,0,$0.00,$0.0000,0.0000%
Bokksu Market,Liquid I.V.,new_customer,0,lookalike,211,0,$0.00,$0.0000,0.0000%
KraveBeauty,Liquid I.V.,new_customer,2,boost5,211,0,$0.00,$0.0000,0.0000%
OUAI,Lunya,new_customer,2,boost5,211,0,$0.00,$0.0000,0.0000%
True Botanicals,Manduka,new_customer,2,bert4recs1,211,0,$0.00,$0.0000,0.0000%
SPONGELLE,BlendJet,new_customer,1,bert4recs1,211,0,$0.00,$0.0000,0.0000%
The HoneyPot,Lunya,new_customer,1,boost5,211,0,$0.00,$0.0000,0.0000%
Baby Tula,Caden Lane,new_customer,1,bert4recs1,211,0,$0.00,$0.0000,0.0000%
NOMAD Grills,True Classic,new_customer,1,bert4recs1,211,0,$0.00,$0.0000,0.0000%
Olive & June,Faherty Brand,new_customer,1,boost5,211,0,$0.00,$0.0000,0.0000%
iHeartRaves,Liquid I.V.,new_customer,1,boost5,211,0,$0.00,$0.0000,0.0000%
8Greens,Character Home,new_customer,1,boost5,211,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,Surely Wines,new_customer,1,boost5,211,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,Liquid I.V.,new_customer,2,bert4recs1,210,0,$0.00,$0.0000,0.0000%
Laura Geller,Cadence,new_customer,3,boost5,252,0,$0.00,$0.0000,0.0000%
Tushbaby,Otteroo,new_customer,2,boost5,210,0,$0.00,$0.0000,0.0000%
eyebobs,BlendJet,new_customer,1,boost5,210,0,$0.00,$0.0000,0.0000%
Bad Birdie,Sol de Janeiro,new_customer,1,boost5,210,0,$0.00,$0.0000,0.0000%
Caden Lane,Yana Sleep,new_customer,0,contextual,210,0,$0.00,$0.0000,0.0000%
Laura Geller,Character Home,new_customer,5,boost5,251,0,$0.00,$0.0000,0.0000%
GRIP6,NOMAD Grills,new_customer,2,boost5,210,0,$0.00,$0.0000,0.0000%
Posh Peanut,Nanit,new_customer,1,contextual,210,0,$0.00,$0.0000,0.0000%
Bobbie,Caden Lane,new_customer,0,lookalike,210,0,$0.00,$0.0000,0.0000%
cbdMD,Liquid I.V.,new_customer,2,bert4recs1,210,0,$0.00,$0.0000,0.0000%
For Days,Glamnetic,new_customer,3,boost5,210,0,$0.00,$0.0000,0.0000%
SolaWave,True Classic,new_customer,1,boost5,210,0,$0.00,$0.0000,0.0000%
SolaWave,Laura Geller,new_customer,0,lookalike,210,0,$0.00,$0.0000,0.0000%
Amberjack,MANSCAPED,new_customer,2,bert4recs1,210,0,$0.00,$0.0000,0.0000%
Ursa Major,Laura Geller,new_customer,2,bert4recs1,210,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Dieux Skin,new_customer,0,lookalike,210,0,$0.00,$0.0000,0.0000%
Bobbie,Snuggle Me Organic,new_customer,3,bert4recs1,210,0,$0.00,$0.0000,0.0000%
Posh Peanut,Dagne Dover,new_customer,2,bert4recs1,209,0,$0.00,$0.0000,0.0000%
Tula Skincare,Laura Geller,new_customer,5,bert4recs1,209,0,$0.00,$0.0000,0.0000%
Laura Geller,Dr. Squatch,new_customer,6,boost5,249,0,$0.00,$0.0000,0.0000%
Lunya,Character Home,new_customer,2,boost5,209,0,$0.00,$0.0000,0.0000%
Little Words Project,Tubby Todd Bath Co.,new_customer,3,boost5,209,0,$0.00,$0.0000,0.0000%
Le Mini Macaron,M.M.LaFleur,new_customer,1,boost5,209,0,$0.00,$0.0000,0.0000%
Faherty Brand,Wolf & Shepherd,new_customer,0,lookalike,209,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Dreamland Baby,new_customer,8,boost5,209,1,$40.00,$0.1914,0.4785%
Tushbaby,Lunya,new_customer,3,boost5,209,0,$0.00,$0.0000,0.0000%
Olive & June,Tula Skincare,new_customer,4,bert4recs1,209,0,$0.00,$0.0000,0.0000%
Glamnetic,INH Hair,new_customer,2,boost5,209,0,$0.00,$0.0000,0.0000%
Mario Badescu Skin Care,Tini Lux,new_customer,1,,209,0,$0.00,$0.0000,0.0000%
jane iredale,Caraway,new_customer,0,contextual,209,0,$0.00,$0.0000,0.0000%
Morphe,Mario Badescu Skin Care,new_customer,1,boost5,209,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Mario Badescu Skin Care,new_customer,1,bert4recs1,209,0,$0.00,$0.0000,0.0000%
jane iredale,Ancient Nutrition,new_customer,2,bert4recs1,209,0,$0.00,$0.0000,0.0000%
Tower 28 Beauty,Girlfriend Collective,new_customer,3,boost5,209,0,$0.00,$0.0000,0.0000%
Dagne Dover,Divi,new_customer,3,boost5,209,1,$50.00,$0.2392,0.4785%
Lunya,Laura Geller,new_customer,1,bert4recs1,209,0,$0.00,$0.0000,0.0000%
Laura Geller,Wolf & Shepherd,new_customer,2,boost5,247,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,ETOILE,new_customer,1,contextual,221,0,$0.00,$0.0000,0.0000%
Newton Baby,True Classic,new_customer,1,boost5,209,0,$0.00,$0.0000,0.0000%
Laura Geller,MANSCAPED,lapsed_customer,4,boost5,247,0,$0.00,$0.0000,0.0000%
BlendJet,Licorice,new_customer,2,bert4recs1,209,1,$25.00,$0.1196,0.4785%
Andie,Sol de Janeiro,new_customer,2,boost5,209,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Tula Skincare,new_customer,4,bert4recs1,209,0,$0.00,$0.0000,0.0000%
Inamorata,Vegamour,new_customer,1,boost5,209,0,$0.00,$0.0000,0.0000%
Waterboy,MANSCAPED,new_customer,1,bert4recs1,208,0,$0.00,$0.0000,0.0000%
Solly Baby,Willow Pumps,new_customer,1,boost5,208,0,$0.00,$0.0000,0.0000%
Monica & Andy Inc.,Tubby Todd Bath Co.,new_customer,5,boost5,208,1,$10.00,$0.0481,0.4808%
Anyday,Licorice,new_customer,0,contextual,208,0,$0.00,$0.0000,0.0000%
Little Words Project,Divi,new_customer,2,boost5,208,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Wildfang,new_customer,2,boost5,221,0,$0.00,$0.0000,0.0000%
Thorlos,Laura Geller,new_customer,2,boost5,208,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Tushbaby,new_customer,5,bert4recs1,208,2,$36.00,$0.1731,0.9615%
Tubby Todd Bath Co.,Nanit,new_customer,7,boost5,208,1,$50.00,$0.2404,0.4808%
Tubby Todd Bath Co.,Tushbaby,new_customer,4,boost5,208,0,$0.00,$0.0000,0.0000%
Giften Market,Lunya,new_customer,1,boost5,208,0,$0.00,$0.0000,0.0000%
Newton Baby,Nanit,new_customer,2,bert4recs1,208,0,$0.00,$0.0000,0.0000%
Raskol Apparel,Volcom,new_customer,0,lookalike,208,0,$0.00,$0.0000,0.0000%
Laura Geller,Cadence,new_customer,2,boost5,246,0,$0.00,$0.0000,0.0000%
Softies,MANSCAPED,new_customer,0,contextual,208,0,$0.00,$0.0000,0.0000%
Curie,Laura Geller,new_customer,3,boost5,208,0,$0.00,$0.0000,0.0000%
Divi,Laura Geller,new_customer,3,boost5,208,1,$15.00,$0.0721,0.4808%
Kosas Cosmetics,Lunya,new_customer,5,boost5,207,0,$0.00,$0.0000,0.0000%
Fable Home,NOMAD Grills,new_customer,4,boost5,207,0,$0.00,$0.0000,0.0000%
Anyday,Hedley & Bennett,new_customer,1,boost5,207,0,$0.00,$0.0000,0.0000%
Beekman 1802,NOMAD Grills,new_customer,2,boost5,207,0,$0.00,$0.0000,0.0000%
Dr. Squatch,The Plug Drink,new_customer,2,bert4recs1,214,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Lalo,new_customer,2,boost5,207,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,Character Home,new_customer,2,boost5,207,0,$0.00,$0.0000,0.0000%
Halfdays,Kosas Cosmetics,new_customer,3,boost5,207,0,$25.00,$0.1208,0.0000%
Coterie,Newton Baby,new_customer,2,boost5,207,0,$0.00,$0.0000,0.0000%
Le Monde Gourmand,Laura Geller,new_customer,0,contextual,207,0,$0.00,$0.0000,0.0000%
EVER Skincare,Liquid I.V.,new_customer,1,bert4recs1,207,0,$0.00,$0.0000,0.0000%
Beyond Polish,Caden Lane,new_customer,0,contextual,207,0,$0.00,$0.0000,0.0000%
Tower 28 Beauty,Little Words Project,new_customer,1,bert4recs1,207,0,$0.00,$0.0000,0.0000%
Kopari,Laura Geller,new_customer,1,bert4recs1,207,0,$0.00,$0.0000,0.0000%
Hedley & Bennett,Monica & Andy Inc.,new_customer,0,contextual,207,0,$0.00,$0.0000,0.0000%
Laura Geller,NOMAD Grills,new_customer,7,boost5,246,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,NOMAD Grills,new_customer,4,boost5,219,0,$0.00,$0.0000,0.0000%
Lunya,Cadence,new_customer,1,boost5,207,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Zonarch,new_customer,0,contextual,218,0,$0.00,$0.0000,0.0000%
Vacation®,Tower 28 Beauty,new_customer,0,contextual,206,0,$0.00,$0.0000,0.0000%
ByHeart,Dreamland Baby,new_customer,1,boost5,206,0,$0.00,$0.0000,0.0000%
Olive & June,M.M.LaFleur,new_customer,5,boost5,206,0,$0.00,$0.0000,0.0000%
Faherty Brand,Koio,new_customer,4,boost5,206,0,$0.00,$0.0000,0.0000%
Spyder,Liquid I.V.,new_customer,2,bert4recs1,206,0,$0.00,$0.0000,0.0000%
Laura Geller,MANSCAPED,returning_customer,2,boost5,245,0,$0.00,$0.0000,0.0000%
Dagne Dover,Vegamour,new_customer,4,boost5,206,0,$0.00,$0.0000,0.0000%
Willow Pumps,Newton Baby,new_customer,3,boost5,206,0,$0.00,$0.0000,0.0000%
Fable Home,Branch,new_customer,1,boost5,206,0,$0.00,$0.0000,0.0000%
For Days,Laura Geller,new_customer,5,boost5,206,1,$15.00,$0.0728,0.4854%
Faherty Brand,Oars + Alps,new_customer,4,boost5,206,1,$55.00,$0.2670,0.4854%
Ritual Zero Proof,21Seeds Tequila,new_customer,0,contextual,206,0,$0.00,$0.0000,0.0000%
Coterie,Tubby Todd Bath Co.,new_customer,6,boost5,206,1,$10.00,$0.0485,0.4854%
vitruvi,NOMAD Grills,new_customer,1,boost5,206,0,$0.00,$0.0000,0.0000%
Blueland,Dr. Squatch,new_customer,2,bert4recs1,206,0,$0.00,$0.0000,0.0000%
Oars + Alps,Twillory,new_customer,0,contextual,206,0,$0.00,$0.0000,0.0000%
Licorice,Dr. Squatch,new_customer,3,bert4recs1,206,1,$25.00,$0.1214,0.4854%
Primally Pure,Caden Lane,new_customer,1,contextual,206,0,$0.00,$0.0000,0.0000%
Little Words Project,Character Home,new_customer,2,boost5,205,0,$0.00,$0.0000,0.0000%
Billy Reid,Dr. Squatch,new_customer,2,bert4recs1,205,0,$0.00,$0.0000,0.0000%
Faherty Brand,Laura Geller,new_customer,6,bert4recs1,205,0,$0.00,$0.0000,0.0000%
Curie,Lunya,new_customer,2,boost5,205,0,$0.00,$0.0000,0.0000%
For Days,Dollar Shave Club,new_customer,1,boost5,205,0,$0.00,$0.0000,0.0000%
Dagne Dover,Tubby Todd Bath Co.,new_customer,6,boost5,205,2,$20.00,$0.0976,0.9756%
Divi,Lunya,new_customer,1,boost5,205,0,$0.00,$0.0000,0.0000%
Crown Affair,Lunya,new_customer,4,boost5,205,0,$0.00,$0.0000,0.0000%
Rains,Wolf & Shepherd,new_customer,0,contextual,205,0,$0.00,$0.0000,0.0000%
Dagne Dover,NOMAD Grills,new_customer,7,boost5,205,0,$0.00,$0.0000,0.0000%
Amberjack,Faherty Brand,new_customer,2,boost5,205,0,$0.00,$0.0000,0.0000%
Tower 28 Beauty,ARMRA Colostrum™,new_customer,0,contextual,205,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Buffbunny Collection,new_customer,0,contextual,215,0,$0.00,$0.0000,0.0000%
8Greens,Airsign,new_customer,1,boost5,205,0,$0.00,$0.0000,0.0000%
Lunya,HATCH,new_customer,0,contextual,205,0,$0.00,$0.0000,0.0000%
M.M.LaFleur,Bala,new_customer,0,contextual,205,0,$0.00,$0.0000,0.0000%
Thorlos,Dr. Squatch,new_customer,1,bert4recs1,205,0,$0.00,$0.0000,0.0000%
Bobbie,Newton Baby,new_customer,3,bert4recs1,205,0,$0.00,$0.0000,0.0000%
Blueland,M.M.LaFleur,new_customer,3,boost5,205,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Dollar Shave Club,new_customer,1,boost5,205,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,MANSCAPED,new_customer,1,boost5,204,0,$0.00,$0.0000,0.0000%
Curie,LIVELY,new_customer,1,bert4recs1,204,0,$0.00,$0.0000,0.0000%
Mario Badescu Skin Care,True Classic,new_customer,2,boost5,204,0,$0.00,$0.0000,0.0000%
jane iredale,Character Home,new_customer,2,boost5,204,0,$0.00,$0.0000,0.0000%
Twillory,Felix Gray,new_customer,1,boost5,204,0,$0.00,$0.0000,0.0000%
Bodily,Snuggle Me Organic,new_customer,1,bert4recs1,204,0,$0.00,$0.0000,0.0000%
Le Mini Macaron,Laura Geller,new_customer,3,boost5,204,0,$0.00,$0.0000,0.0000%
jane iredale,Carve Designs,new_customer,1,bert4recs1,204,0,$0.00,$0.0000,0.0000%
Dr. Motion,Laura Geller,new_customer,0,,204,0,$0.00,$0.0000,0.0000%
Liquid I.V.,"Dermaclara, LLC",new_customer,0,lookalike,204,0,$0.00,$0.0000,0.0000%
Crown Affair,Dagne Dover,new_customer,3,boost5,204,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Sol de Janeiro,lapsed_customer,2,boost5,204,0,$0.00,$0.0000,0.0000%
August Uncommon Tea,BlendJet,new_customer,1,boost5,204,0,$0.00,$0.0000,0.0000%
Nood,MANSCAPED,new_customer,0,lookalike,203,0,$0.00,$0.0000,0.0000%
Divi,Liquid I.V.,new_customer,3,bert4recs1,203,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Bodily,new_customer,3,bert4recs1,203,0,$0.00,$0.0000,0.0000%
Pretzels.com,Branch,new_customer,1,contextual,203,0,$0.00,$0.0000,0.0000%
Branch,True Classic,new_customer,0,lookalike,203,0,$0.00,$0.0000,0.0000%
Willow Pumps,Solly Baby,new_customer,1,bert4recs1,203,0,$0.00,$0.0000,0.0000%
Bobbie,Tubby Todd Bath Co.,new_customer,6,boost5,203,3,$30.00,$0.1478,1.4778%
Posh Peanut,Nanit,new_customer,8,boost5,203,1,$50.00,$0.2463,0.4926%
Needed,Caden Lane,new_customer,4,boost5,203,0,$0.00,$0.0000,0.0000%
eyebobs,Twillory,new_customer,0,contextual,203,0,$0.00,$0.0000,0.0000%
Willow Pumps,Caden Lane,returning_customer,4,boost5,203,2,$40.00,$0.1970,0.9852%
Laura Geller,Kindra,new_customer,2,boost5,245,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Sunday Citizen,new_customer,0,lookalike,215,0,$0.00,$0.0000,0.0000%
Divi,Caden Lane,new_customer,3,bert4recs1,203,1,$32.00,$0.1576,0.4926%
The CrunchCup,True Classic,new_customer,1,bert4recs1,203,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,M.M.LaFleur,new_customer,4,boost5,203,0,$0.00,$0.0000,0.0000%
Caden Lane,HATCH,new_customer,5,boost5,203,1,$40.00,$0.1970,0.4926%
Lunya,Dame,new_customer,0,contextual,203,0,$0.00,$0.0000,0.0000%
Manduka,Carve Designs,new_customer,1,boost5,203,0,$0.00,$0.0000,0.0000%
Laura Geller,Ursa Major,new_customer,7,boost5,243,0,$0.00,$0.0000,0.0000%
cbdMD,Dr. Squatch,new_customer,1,boost5,203,0,$0.00,$0.0000,0.0000%
Beekman 1802,Caden Lane,new_customer,1,boost5,203,0,$0.00,$0.0000,0.0000%
Buffbunny Collection,Vegamour,new_customer,4,boost5,202,1,$50.00,$0.2475,0.4950%
Ancient Nutrition,Tula Skincare,new_customer,2,boost5,202,0,$0.00,$0.0000,0.0000%
Liquid I.V.,Dollar Shave Club,new_customer,2,boost5,202,0,$0.00,$0.0000,0.0000%
Liquid I.V.,Sol de Janeiro,new_customer,4,boost5,202,1,$20.00,$0.0990,0.4950%
The CrunchCup,Liquid I.V.,new_customer,0,lookalike,202,0,$0.00,$0.0000,0.0000%
Raskol Apparel,Beekman 1802,new_customer,2,boost5,202,0,$0.00,$0.0000,0.0000%
FullWell,Moonglow,new_customer,0,,202,0,$0.00,$0.0000,0.0000%
For Days,Year & Day,new_customer,2,boost5,202,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Dagne Dover,new_customer,4,bert4recs1,202,0,$0.00,$0.0000,0.0000%
Manduka,Laura Geller,new_customer,0,lookalike,202,0,$0.00,$0.0000,0.0000%
Nood,SolaWave,new_customer,1,boost5,202,0,$0.00,$0.0000,0.0000%
BlendJet,Tula Skincare,new_customer,1,bert4recs1,202,0,$0.00,$0.0000,0.0000%
Bobbie,Tushbaby,new_customer,1,boost5,202,0,$0.00,$0.0000,0.0000%
Ancient Nutrition,MANSCAPED,new_customer,1,contextual,202,0,$0.00,$0.0000,0.0000%
Wolf & Shepherd,Twillory,new_customer,1,bert4recs1,202,0,$0.00,$0.0000,0.0000%
Dagne Dover,Girlfriend Collective,new_customer,4,boost5,202,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Bodily,new_customer,4,boost5,202,3,$105.00,$0.5198,1.4851%
Bobbie,Lalo,new_customer,1,boost5,202,0,$0.00,$0.0000,0.0000%
Trace Minerals,Dr. Squatch,new_customer,1,boost5,202,0,$0.00,$0.0000,0.0000%
Bodily,Snuggle Me Organic,new_customer,2,bert4recs1,202,2,$40.00,$0.1980,0.9901%
ARMRA Colostrum™,Tula Skincare,new_customer,2,boost5,202,0,$0.00,$0.0000,0.0000%
"Dermaclara, LLC",MANSCAPED,new_customer,0,contextual,202,0,$0.00,$0.0000,0.0000%
Solly Baby,Dagne Dover,new_customer,2,bert4recs1,201,1,$30.00,$0.1493,0.4975%
Oradina,Beyond Polish,new_customer,1,boost5,201,0,$0.00,$0.0000,0.0000%
Molekule,Lunya,new_customer,1,boost5,201,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Bodily,new_customer,8,boost5,201,2,$70.00,$0.3483,0.9950%
woolino,Needed,new_customer,0,contextual,201,0,$0.00,$0.0000,0.0000%
Snuggle Me Organic,Tula Skincare,new_customer,2,boost5,201,0,$0.00,$0.0000,0.0000%
Spyder,Airsign,new_customer,2,boost5,201,0,$0.00,$0.0000,0.0000%
Otteroo,Caden Lane,new_customer,1,bert4recs1,201,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Snuggle Me Organic,returning_customer,6,bert4recs1,201,1,$10.00,$0.0498,0.4975%
Bobbie,Dagne Dover,new_customer,1,bert4recs1,201,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Vegamour,new_customer,2,boost5,201,1,$50.00,$0.2488,0.4975%
Evereden,NEIWAI,new_customer,1,boost5,201,0,$0.00,$0.0000,0.0000%
Oradina,Laura Geller,new_customer,0,contextual,201,0,$0.00,$0.0000,0.0000%
Baby Tula,Posh Peanut,new_customer,1,boost5,201,0,$0.00,$0.0000,0.0000%
Bodily,Snuggle Me Organic,new_customer,3,boost5,201,2,$40.00,$0.1990,0.9950%
Primally Pure,True Classic,new_customer,4,bert4recs1,201,1,$45.00,$0.2239,0.4975%
Bobbie,Newton Baby,new_customer,5,boost5,201,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Posh Peanut,new_customer,5,bert4recs1,201,0,$0.00,$0.0000,0.0000%
Halfdays,Bala,new_customer,1,boost5,201,0,$0.00,$0.0000,0.0000%
Dreamland Baby,True Classic,new_customer,1,boost5,201,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Solly Baby,new_customer,5,bert4recs1,201,0,$0.00,$0.0000,0.0000%
120/Life,True Classic,new_customer,1,bert4recs1,201,0,$0.00,$0.0000,0.0000%
Tula Skincare,Divi,new_customer,1,bert4recs1,201,0,$0.00,$0.0000,0.0000%
Laura Geller,Divi,new_customer,6,boost5,242,0,$0.00,$0.0000,0.0000%
Willow Pumps,Laura Geller,new_customer,1,boost5,201,0,$0.00,$0.0000,0.0000%
Dr. Squatch,Licorice,new_customer,2,boost5,207,0,$0.00,$0.0000,0.0000%
Faherty Brand,Amberjack,new_customer,2,bert4recs1,201,1,$60.00,$0.2985,0.4975%
Laura Geller,Caraway,new_customer,0,contextual,254,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Snuggle Me Organic,lapsed_customer,3,boost5,200,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Willow Pumps,new_customer,4,bert4recs1,200,0,$0.00,$0.0000,0.0000%
Amberjack,Oars + Alps,new_customer,1,boost5,200,0,$0.00,$0.0000,0.0000%
Mario Badescu Skin Care,Laura Geller,new_customer,0,lookalike,200,0,$0.00,$0.0000,0.0000%
Dagne Dover,Newton Baby,new_customer,4,boost5,200,1,$3.00,$0.0150,0.5000%
Wondery,Vegamour,new_customer,1,bert4recs1,200,0,$0.00,$0.0000,0.0000%
Manduka,Faherty Brand,new_customer,2,boost5,200,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Vegamour,new_customer,2,bert4recs1,200,0,$0.00,$0.0000,0.0000%
Dr. Motion,Laura Geller,new_customer,1,boost5,200,0,$0.00,$0.0000,0.0000%
Sprout Living,NOMAD Grills,new_customer,2,boost5,200,0,$0.00,$0.0000,0.0000%
KraveBeauty,M.M.LaFleur,new_customer,2,boost5,200,0,$0.00,$0.0000,0.0000%
Monica & Andy Inc.,Dagne Dover,new_customer,3,bert4recs1,200,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Sijo,new_customer,1,contextual,215,0,$0.00,$0.0000,0.0000%
Dirty Labs,Girlfriend Collective,new_customer,0,contextual,200,0,$0.00,$0.0000,0.0000%
Laura Geller,Gibsonlook,new_customer,4,boost5,239,0,$0.00,$0.0000,0.0000%
Posh Peanut,Tubby Todd Bath Co.,new_customer,10,boost5,200,1,$10.00,$0.0500,0.5000%
SPONGELLE,Liquid I.V.,new_customer,1,bert4recs1,199,0,$0.00,$0.0000,0.0000%
Tushbaby,Nanit,new_customer,0,contextual,199,0,$0.00,$0.0000,0.0000%
For Days,Dropps,new_customer,3,bert4recs1,199,0,$0.00,$0.0000,0.0000%
Liquid I.V.,Beekman 1802,new_customer,0,contextual,199,0,$0.00,$0.0000,0.0000%
ByHeart,Moonglow,new_customer,1,,199,0,$0.00,$0.0000,0.0000%
BlendJet,Laura Geller,new_customer,5,boost5,199,1,$15.00,$0.0754,0.5025%
MantraBand,Character Home,new_customer,3,boost5,199,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Newton Baby,new_customer,7,boost5,199,1,$3.00,$0.0151,0.5025%
jane iredale,BlendJet,new_customer,1,boost5,199,0,$0.00,$0.0000,0.0000%
Snuggle Me Organic,Divi,new_customer,1,boost5,199,0,$0.00,$0.0000,0.0000%
Tubby Todd Bath Co.,Bodily,new_customer,4,bert4recs1,199,1,$35.00,$0.1759,0.5025%
Willow Pumps,NOMAD Grills,new_customer,1,boost5,199,0,$0.00,$0.0000,0.0000%
Andie,M.M.LaFleur,new_customer,3,boost5,199,0,$0.00,$0.0000,0.0000%
SACHEU Beauty,Liquid I.V.,new_customer,1,bert4recs1,199,0,$0.00,$0.0000,0.0000%
Twillory,Dr. Squatch,new_customer,3,boost5,199,0,$0.00,$0.0000,0.0000%
NEIWAI,Liquid I.V.,new_customer,2,boost5,199,0,$0.00,$0.0000,0.0000%
Liquid I.V.,Laura Geller,new_customer,5,boost5,199,0,$0.00,$0.0000,0.0000%
Willow Pumps,Liquid I.V.,new_customer,2,bert4recs1,199,0,$0.00,$0.0000,0.0000%
Dagne Dover,LIVELY,new_customer,4,bert4recs1,199,0,$0.00,$0.0000,0.0000%
ByHeart,Dr. Squatch,new_customer,1,boost5,199,0,$0.00,$0.0000,0.0000%
Dagne Dover,Branch,new_customer,2,boost5,199,0,$0.00,$0.0000,0.0000%
Oradina,LIVELY,new_customer,1,bert4recs1,199,0,$0.00,$0.0000,0.0000%
Dagne Dover,Branch,new_customer,2,bert4recs1,199,0,$0.00,$0.0000,0.0000%
Blueland,Dr. Squatch,new_customer,0,contextual,199,0,$0.00,$0.0000,0.0000%
jane iredale,Liquid I.V.,new_customer,3,bert4recs1,199,0,$0.00,$0.0000,0.0000%
Manduka,M.M.LaFleur,new_customer,3,boost5,198,0,$0.00,$0.0000,0.0000%
Buffbunny Collection,Caden Lane,new_customer,3,boost5,198,0,$0.00,$0.0000,0.0000%
Laura Geller,Curie,new_customer,1,lookalike,241,0,$0.00,$0.0000,0.0000%
Snuggle Me Organic,Dagne Dover,new_customer,3,boost5,198,0,$0.00,$0.0000,0.0000%
Blueland,Laura Geller,new_customer,4,bert4recs1,198,0,$0.00,$0.0000,0.0000%
Dr. Squatch,Newton Baby,new_customer,0,lookalike,201,0,$0.00,$0.0000,0.0000%
Le Mini Macaron,Kosas Cosmetics,new_customer,0,contextual,198,0,$0.00,$0.0000,0.0000%
Bobbie,Nanit,new_customer,4,boost5,198,0,$0.00,$0.0000,0.0000%
Liquid I.V.,MAXPRO Fitness,new_customer,2,boost5,198,0,$0.00,$0.0000,0.0000%
Primally Pure,Caraway,new_customer,0,lookalike,198,0,$0.00,$0.0000,0.0000%
cbdMD,MANSCAPED,new_customer,2,bert4recs1,198,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,Year & Day,new_customer,1,boost5,198,0,$0.00,$0.0000,0.0000%
OrnamentallyYou,NOMAD Grills,new_customer,1,boost5,198,0,$0.00,$0.0000,0.0000%
Siete Foods,True Classic,new_customer,1,bert4recs1,198,0,$0.00,$0.0000,0.0000%
Dr. Squatch,Waterboy,new_customer,0,lookalike,198,0,$0.00,$0.0000,0.0000%
mate,True Classic,new_customer,1,boost5,198,0,$0.00,$0.0000,0.0000%
Curie,Lunya,new_customer,1,boost5,197,0,$0.00,$0.0000,0.0000%
Dreamland Baby,Character Home,new_customer,2,boost5,197,0,$0.00,$0.0000,0.0000%
Waterboy,Laura Geller,new_customer,1,bert4recs1,197,0,$0.00,$0.0000,0.0000%
