PUBLISHER,BRAND_NAME,DISPLAY_CUSTOMER_TYPE,DISTINCT_MERCHANTS_AT_LOAD_TIME,ML_MODEL,BRAND_IMPRESSIONS,CONV_COUNT,TOTAL_AD_SPEND,REVENUE_PER_BRAND_IMPRESSION,CVR
Laura Geller,Tula Skincare,new_customer,3,boost5,12371,3,$150.00,$0.0121,0.0243%
Licorice,NOMAD Grills,new_customer,2,boost5,1380,0,$0.00,$0.0000,0.0000%
Laura Geller,MANSCAPED,new_customer,1,boost5,4357,1,$0.01,$0.0000,0.0230%
Laura Geller,Caden Lane,new_customer,2,boost5,5003,1,$32.00,$0.0064,0.0200%
Snuggle Me Organic,Bodily,new_customer,0,contextual,1376,0,$0.00,$0.0000,0.0000%
Olive & June,Lunya,new_customer,2,boost5,1375,0,$0.00,$0.0000,0.0000%
Amberjack,Twillory,new_customer,0,contextual,1369,4,$60.00,$0.0438,0.2922%
Posh Peanut,Nanit,new_customer,1,boost5,1367,0,$0.00,$0.0000,0.0000%
Beginning Boutique,Tula Skincare,new_customer,1,boost5,1365,0,$0.00,$0.0000,0.0000%
For Days,Blueland,new_customer,1,boost5,1365,1,$33.00,$0.0242,0.0733%
Faherty Brand,Laura Geller,new_customer,2,bert4recs1,1362,0,$0.00,$0.0000,0.0000%
Volcom,Dr. Squatch,new_customer,1,bert4recs1,1362,0,$0.00,$0.0000,0.0000%
Wolf & Shepherd,Twillory,new_customer,0,contextual,1361,1,$15.00,$0.0110,0.0735%
Caraway,Primally Pure,new_customer,0,contextual,1360,0,$0.00,$0.0000,0.0000%
Dagne Dover,Laura Geller,new_customer,2,boost5,1360,0,$0.00,$0.0000,0.0000%
Sol de Janeiro,Boie USA,new_customer,0,contextual,4109,0,$0.00,$0.0000,0.0000%
Laura Geller,Sol de Janeiro,new_customer,0,lookalike,5376,1,$20.00,$0.0037,0.0186%
Tubby Todd Bath Co.,Tula Skincare,new_customer,2,boost5,1356,0,$0.00,$0.0000,0.0000%
Willow Pumps,Caden Lane,new_customer,2,boost5,1354,3,$96.00,$0.0709,0.2216%
Posh Peanut,Nanit,new_customer,2,boost5,1354,2,$100.00,$0.0739,0.1477%
Primally Pure,Caden Lane,new_customer,1,bert4recs1,1352,0,$0.00,$0.0000,0.0000%
Ritual Zero Proof,Liquid I.V.,new_customer,1,boost5,1348,0,$0.00,$0.0000,0.0000%
Hedley & Bennett,NOMAD Grills,new_customer,1,boost5,1344,0,$0.00,$0.0000,0.0000%
Laura Geller,Sol de Janeiro,new_customer,1,boost5,192498,32,$600.00,$0.0031,0.0166%
