PUBLISHER_NAME,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND
Common Heir,Divi,2,,,0,0.00
Trace Minerals,Clean Age,6,,,0,0.00
Gathre,120/Life,2,,,0,0.00
Haand Inc,Oars + Alps,9,,,0,0.00
Once Upon a Farm,FullWell,188,,,0,0.00
Ritual Zero Proof,Character Home,953,,,0,0.00
Evergreen,True Classic,4,,,0,0.00
WP Standard,Laura Geller,149,,,0,0.00
Dagne Dover,INBLOOM,11,,,0,0.00
Opopop,Ruggish Co.,9,,,0,0.00
Nuudii System,Mario Badescu Skin Care,29,,,0,0.00
Les Belles,Zonarch,1,,,0,0.00
Amberjack,ieró Beauty™,5,,,0,0.00
good light,Le Monde Gourmand,15,,,0,0.00
Spice Tribe,Evergreen,2,,,0,0.00
Waterboy,Dakine,13,,,0,0.00
Laura Geller,JACK HENRY,60,,,0,0.00
sproos!,Natalist Co.,1,,,0,0.00
Bellway,Outer Aisle,2,,,0,0.00
Dropps,OrnamentallyYou,7,,,0,0.00
SeaVees,Siete Foods,1,,,0,0.00
Thorlos,Moonglow,2,,,0,0.00
Corpus Naturals,Ritual Zero Proof,17,,,0,0.00
Goodlife Clothing,Waterboy,11,,,0,0.00
Billion Dollar Beauty,Ursa Major,30,,,0,0.00
Bodily,Baby Tula,40,,,0,0.00
Le Monde Gourmand,SortJoy,6,,,0,0.00
Wondery,ZOA Energy,15,,,0,0.00
AAVRANI,Dr Sari's Lunar Sync,1,,,0,0.00
Giften Market,HATCH,270,,,0,0.00
Bokksu Market,Hedley & Bennett,97,,,0,0.00
Dr. Squatch,Firebelly Tea,21,,,0,0.00
Toad&Co,Licorice,1,,,0,0.00
Anjie + Ash,Snuggle Me Organic,7,,,0,0.00
Le Mini Macaron,Canary,2,,,0,0.00
Oradina,doublesoul,7,,,0,0.00
Trace Minerals,Captain Blankenship,8,,,0,0.00
Ritual Zero Proof,Cardon,10,,,0,0.00
Blossom,jane iredale,6,,,0,0.00
AAVRANI,Monica & Andy Inc.,2,,,0,0.00
iloveplum,Serenity Kids,1,,,0,0.00
Create,Foria,82,,,0,0.00
Licorice,Giapenta,5,,,0,0.00
Dr. Squatch,Fable Home,44,,,0,0.00
Dame,LOOPS,44,,,0,0.00
Dakine,Tower 28 Beauty,9,,,0,0.00
Myles,Caden Lane,10,,,0,0.00
Molekule,Winged Wellness,1,,,0,0.00
Tubby Todd Bath Co.,eyebobs,8,,,0,0.00
Aura Bora,Anyday,3,,,0,0.00
jane iredale,Bodily,18,,,0,0.00
The Secure Mat,Volcom,1,,,0,0.00
BelliWelli,Glamnetic,157,,,0,0.00
Primally Pure,Snowyskin,38,,,0,0.00
Mosi,Siblings,53,,,0,0.00
Aura Bora,Volcom,4,,,0,0.00
Las Jaras Wines,Covey Skincare,1,,,0,0.00
SolaWave,ettitude,30,,,0,0.00
IVL Collective,Primally Pure,2,,,0,0.00
MAXPRO Fitness,Alpha-H,10,,,0,0.00
Winky Lux,Seafolly Australia,19,,,0,0.00
jane iredale,ezpz,13,,,0,0.00
Baby K'tan,Dagne Dover,30,,,0,0.00
Crown Affair,NEIWAI,443,,,0,0.00
Coco Moon,Le Mini Macaron,7,,,0,0.00
SeaVees,Evergreen,2,,,0,0.00
jane iredale,The Secure Mat,1,,,0,0.00
Ritual Zero Proof,Waterboy,160,,,0,0.00
Once Upon a Farm,Canopy,9,,,0,0.00
Tini Lux,True Botanicals,10,,,0,0.00
Airsign,Sunday Citizen,3,,,0,0.00
Liquid I.V.,Serenity Kids,14,,,0,0.00
Blueland,Clover by CLOVE + HALLOW,2,,,0,0.00
Ritual Zero Proof,Popadelics,1,,,0,0.00
Morphe,ettitude,1,,,0,0.00
Spice Tribe,Explorer Cold Brew,20,,,0,0.00
Aura Bora,Vacation®,4,,,0,0.00
Quitch,Laura Geller,7,,,0,0.00
Nood,Bad Birdie,53,,,0,0.00
biom,Natalist Co.,1,,,0,0.00
Tiege Hanley,Trace Minerals,2,,,0,0.00
AAVRANI,Spice Tribe,1,,,0,0.00
Covey Skincare,Oars + Alps,1,,,0,0.00
Oradina,Distil Union,2,,,0,0.00
FullWell,Otteroo,29,,,0,0.00
Waterboy,Little Words Project,95,,,0,0.00
The Plug Drink,Vacation®,37,,,0,0.00
Serenity Kids,Hedley & Bennett,9,,,0,0.00
Botanical Bones,Lunya,1,,,0,0.00
Nuudii System,Dollar Shave Club,325,,,0,0.00
Nood,Giapenta,5,,,0,0.00
Sani,Blueland,1,,,0,0.00
Botanical Bones,Liquid I.V.,34,,,0,0.00
Halfdays,Molekule,15,,,0,0.00
Koio,jot,4,,,0,0.00
The Plug Drink,Aura Bora,13,,,0,0.00
Aria Beauty,Evereden,3,,,0,0.00
OUAI,eeBoo,4,,,0,0.00
Gathre,Character Home,295,,,0,0.00
Halfdays,Bodily,163,,,0,0.00
LuminAID,SortJoy,22,,,0,0.00
Willa's,Cadence,1,,,0,0.00
Munk Pack,Shinesty,4,,,0,0.00
Casa de Sante,jane iredale,10,,,0,0.00
inklings baby,Tubby Todd Bath Co.,1,,,0,0.00
Tower 28 Beauty,Wondery,1,,,0,0.00
Beginning Boutique,doublesoul,4,,,0,0.00
Liquid I.V.,HATCH,94,,,0,0.00
LuminAID,BelliWelli,13,,,0,0.00
Winky Lux,Waterboy,31,,,0,0.00
QALO,Myles,1,,,0,0.00
Beekman 1802,Verdant Lyfe,6,,,0,0.00
MatchaBar,ZOA Energy,1,,,0,0.00
Halfdays,The Secure Mat,1,,,0,0.00
Once Upon a Farm,TriLASTIN,1,,,0,0.00
The HoneyPot,Saranoni Luxury Blankets,3,,,0,0.00
Goodlife Clothing,For Days,2,,,0,0.00
ByHeart,Buffbunny Collection,45,,,0,0.00
BASIK CANDLE CO,Airsign,18,,,0,0.00
Beyond Polish,Curie,139,,,0,0.00
eyebobs,Kopari,45,,,0,0.00
ELVY Lab,Rif Care,1,,,0,0.00
Gngr Labs,Wondery,1,,,0,0.00
Zensah,Billy Reid,9,,,0,0.00
Baby K'tan,Natemia,1,,,0,0.00
good light,cbdMD,1,,,0,0.00
Common Heir,Lalo,1,,,0,0.00
Winky Lux,TriLASTIN,9,,,0,0.00
Rains,Snuggle Me Organic,12,,,0,0.00
Schoolyard Snacks,Houseplant,2,,,0,0.00
Las Jaras Wines,Softies,1,,,0,0.00
Faherty Brand,Cardon,14,,,0,0.00
Vegamour,Dirty Labs,2,,,0,0.00
LIVELY,WP Standard,1,,,0,0.00
Le Mini Macaron,NOTO Botanics,1,,,0,0.00
Rif Care,Oradina,2,,,0,0.00
FullWell,Girlfriend Collective,105,,,0,0.00
Spyder,Highline Wellness,15,,,0,0.00
Casa de Sante,Character Home,29,,,0,0.00
esmi Skin Minerals,Cadence,8,,,0,0.00
Bloomscape,Spärkel Beverage Systems,1,,,0,0.00
Winky Lux,Dr. Motion,4,,,0,0.00
Foria,NOT!CE Hair Co,6,,,0,0.00
Bad Birdie,Doggy Do Good,1,,,0,0.00
Newton Baby,Nood,1,,,0,0.00
The Secure Mat,SolaWave,2,,,0,0.00
GoNanas,ettitude,6,,,0,0.00
OrnamentallyYou,The CrunchCup,1,,,0,0.00
21Seeds Tequila,Pretzels.com,1,,,0,0.00
Mosi,Bushwick Kitchen,3,,,0,0.00
Tiege Hanley,SPONGELLE,1,,,0,0.00
My Girl Wellness,Common Era Jewelry,20,,,0,0.00
Hummii: Healthy+Yummii Snacks,LIVELY,41,,,0,0.00
Nuudii System,Estella,6,,,0,0.00
Divi,Manduka,10,,,0,0.00
Le Mini Macaron,Morphe,687,,,0,0.00
Pretzels.com,Tinto Amorio,1,,,0,0.00
Olivers Apparel,Thorlos,38,,,0,0.00
Billion Dollar Beauty,Kopari,143,,,0,0.00
sproos!,Newton Baby,16,,,0,0.00
Better & Better,Tiege Hanley,1,,,0,0.00
The Plug Drink,Bed Babe,15,,,0,0.00
Les Belles,M.M.LaFleur,37,,,0,0.00
jot,Birthdate Co.,14,,,0,0.00
Beekman 1802,Volcom,30,,,0,0.00
Body Meal,Liquid I.V.,4,,,0,0.00
Twillory,Canopy,5,,,0,0.00
ARMRA Colostrum™,Mented Cosmetics,4,,,0,0.00
Bellway,Mented Cosmetics,2,,,0,0.00
Wondery,Wolf & Shepherd,234,,,0,0.00
eyebobs,Morphe,12,,,0,0.00
True Classic,AAVRANI,1,,,0,0.00
Spyder,Canopy,31,,,0,0.00
Mario Badescu Skin Care,Beyond Polish,76,,,0,0.00
Storied Hats,Ponto Footwear,11,,,0,0.00
Hint,Dirty Labs,2,,,0,0.00
Nuudii System,Kosas Cosmetics,563,,,0,0.00
Boie USA,Liquid I.V.,379,,,0,0.00
Le Monde Gourmand,True Botanicals,18,,,0,0.00
Lollipetals,Curie,6,,,0,0.00
Hummii: Healthy+Yummii Snacks,Gibsonlook,5,,,0,0.00
Parken Jewelry,Sunday Citizen,11,,,0,0.00
Les Belles,Calin,1,,,0,0.00
Tubby Todd Bath Co.,Character Home,727,,,0,0.00
Whimsy and Row,Year & Day,28,,,0,0.00
Once Upon a Farm,Milton & Goose,148,,,0,0.00
Lalabu,Luca Faloni,37,,,0,0.00
eyebobs,Branch,37,,,0,0.00
ETOILE,Airsign,11,,,0,0.00
Foria,Haus of Brilliance,2,,,0,0.00
True Made Foods,iloveplum,1,,,0,0.00
Goodlife Clothing,Birthdate Co.,1,,,0,0.00
Oat Mama,Bodily,6,,,0,0.00
Tower 28 Beauty,Bed Babe,15,,,0,0.00
Spice Tribe,INBLOOM,2,,,0,0.00
Carve Designs,Ry & Pen,3,,,0,0.00
LIVELY,Winky Lux,8,,,0,0.00
Storied Hats,Caden Lane,13,,,0,0.00
Liquid I.V.,ettitude,262,,,0,0.00
Koio,Licorice,25,,,0,0.00
Revolution Cooking,Airsign,74,,,0,0.00
SENREVE,Baby Tula,2,,,0,0.00
SolaWave,Canopy,20,,,0,0.00
Nood,Evereden,38,,,0,0.00
TriLASTIN,Dropps,1,,,0,0.00
Ritual Zero Proof,Bala,4,,,0,0.00
jot,Serenity Kids,2,,,0,0.00
Houseplant,Golde,12,,,0,0.00
Toad&Co,Divi,9,,,0,0.00
SACHEU Beauty,Snowyskin,1,,,0,0.00
Coco Moon,Sonrei Skin,1,,,0,0.00
Foria,Nuudii System,13,,,0,0.00
Sunfood Superfoods,Koio,13,,,0,0.00
Hally Hair,Seamless Lingerie,1,,,0,0.00
My Medic,Kopari,1,,,0,0.00
Consciously Baby,"Dermaclara, LLC",13,,,0,0.00
happy being,Felix Gray,1,,,0,0.00
Wondery,Create,35,,,0,0.00
esmi Skin Minerals,For Days,8,,,0,0.00
doublesoul,Caden Lane,1,,,0,0.00
Willa's,D.S. & Durga,8,,,0,0.00
Serenity Kids,Compass Coffee,1,,,0,0.00
My Medic,Curie,5,,,0,0.00
Spyder,Nala Care,1,,,0,0.00
Snuggle Me Organic,Rains,1,,,0,0.00
Seafolly Australia,Divi,7,,,0,0.00
Amberjack,Moon Pals,36,,,0,0.00
Le Monde Gourmand,Wolf & Shepherd,5,,,0,0.00
Liquid I.V.,Beyond Polish,202,,,0,0.00
Bodily,Fable Home,9,,,0,0.00
World Wide Stereo,The Secure Mat,1,,,0,0.00
Lasso,happy being,7,,,0,0.00
esmi Skin Minerals,Lalabu,1,,,0,0.00
Amberjack,Firebelly Tea,30,,,0,0.00
Estella,Wolf & Shepherd,1,,,0,0.00
Gathre,Airsign,1,,,0,0.00
Lollipetals,Beekman 1802,5,,,0,0.00
sproos!,Fable Home,47,,,0,0.00
Pretzels.com,Mario Badescu Skin Care,5,,,0,0.00
Oradina,Carve Designs,109,,,0,0.00
Beyond Polish,12|12,1,,,0,0.00
Bala,Gibsonlook,102,,,0,0.00
Seoul Ceuticals,Buffbunny Collection,12,,,0,0.00
LuminAID,Zensah,5,,,0,0.00
Doré,ettitude,1,,,0,0.00
Nuudii System,Posh Peanut,25,,,0,0.00
Firebelly Tea,Bokksu Market,27,,,0,0.00
esmi Skin Minerals,Ruggish Co.,1,,,0,0.00
BLQK Coffee,Dryft Sleep,1,,,0,0.00
ByHeart,Estella,2,,,0,0.00
Billion Dollar Beauty,IVL Collective,3,,,0,0.00
AAVRANI,Waterboy,4,,,0,0.00
Renewal Mill,vitruvi,1,,,0,0.00
Common Heir,Thousand Fell,2,,,0,0.00
Motherhood,Dr. Motion,2,,,0,0.00
Evergreen,Spyder,2,,,0,0.00
Houseplant,JOI,2,,,0,0.00
Homesick Candles,Le Mini Macaron,1,,,0,0.00
Mario Badescu Skin Care,Toad&Co,65,,,0,0.00
Bokksu Market,Le Monde Gourmand,506,,,0,0.00
Botanical Bones,Beekman 1802,24,,,0,0.00
Spritz Society,Carve Designs,1,,,0,0.00
Sonrei Skin,Bellway,4,,,0,0.00
Pulp Pantry,biom,7,,,0,0.00
Dakine,Le Monde Gourmand,1,,,0,0.00
Lasso,Beginning Boutique,7,,,0,0.00
Cleverman,Joanna Vargas Skincare,1,,,0,0.00
Zensah,zing bars,8,,,0,0.00
Bellway,Foria,14,,,0,0.00
Cali's Books,Dropps,18,,,0,0.00
Snuggle Me Organic,Birthdate Co.,10,,,0,0.00
Licorice,Tubby Todd Bath Co.,130,,,0,0.00
Les Belles,Dame,29,,,0,0.00
120/Life,Wolf & Shepherd,229,,,0,0.00
Electric Picks Jewelry,Felix Gray,4,,,0,0.00
SACHEU Beauty,Bad Birdie,5,,,0,0.00
Cali's Books,Milton & Goose,1,,,0,0.00
Goodlife Clothing,Munk Pack,2,,,0,0.00
Curie,Juna,7,,,0,0.00
Dr. Squatch,Explorer Cold Brew,2,,,0,0.00
Tower 28 Beauty,World Wide Stereo,13,,,0,0.00
Tower 28 Beauty,Luca Faloni,29,,,0,0.00
jot,AAVRANI,4,,,0,0.00
Ancient Nutrition,Snuggle Me Organic,11,,,0,0.00
Licorice,Juna,5,,,0,0.00
Gathre,Lily Jade,2,,,0,0.00
True Made Foods,Highline Wellness,1,,,0,0.00
Branch,Birthdate Co.,2,,,0,0.00
SET ACTIVE,Dagne Dover,1,,,0,0.00
Beyond Polish,Compass Coffee,1,,,0,0.00
Olivers Apparel,IVL Collective,2,,,0,0.00
Bodily,Muslin Comfort,6,,,0,0.00
Ritual Zero Proof,biom,27,,,0,0.00
Once Upon a Farm,Gooselings,16,,,0,0.00
My Girl Wellness,Hedley & Bennett,7,,,0,0.00
Branch,eeBoo,2,,,0,0.00
Le Mini Macaron,Oradina,184,,,0,0.00
Haand Inc,Glamnetic,7,,,0,0.00
Willow Pumps,Lollipetals,2,,,0,0.00
Coterie,Year & Day,38,,,0,0.00
Cali's Books,Lalabu,48,,,0,0.00
Snuggle Me Organic,Dr. Squatch,500,,,0,0.00
Dagne Dover,The HoneyPot,79,,,0,0.00
Sensory Joy,Liquid I.V.,176,,,0,0.00
Sonrei Skin,Afloral,4,,,0,0.00
Thousand Fell,Manduka,17,,,0,0.00
Spritz Society,Koio,1,,,0,0.00
biom,INBLOOM,2,,,0,0.00
Las Jaras Wines,Dirty Labs,4,,,0,0.00
Foria,Birthdate Co.,2,,,0,0.00
Sanzo,D.S. & Durga,22,,,0,0.00
FullWell,Molekule,9,,,0,0.00
Birthdate Co.,Aura Bora,4,,,0,0.00
Homesick Candles,Opopop,1,,,0,0.00
Baby Delight,Leeway Home,2,,,0,0.00
Spice Tribe,biom,1,,,0,0.00
Nuudii System,eyebobs,74,,,0,0.00
The HoneyPot,Character Home,110,,,0,0.00
ARMRA Colostrum™,woolino,18,,,0,0.00
Dropps,Monica & Andy Inc.,130,,,0,0.00
Opopop,ByHeart,11,,,0,0.00
Dagne Dover,Avocado Green Mattress,10,,,0,0.00
Branch,happy being,1,,,0,0.00
Girlfriend Collective,Altitude Functional Beverages,3,,,0,0.00
Carve Designs,eyebobs,125,,,0,0.00
Homesick Candles,Siete Foods,1,,,0,0.00
Dagne Dover,EGG New York,49,,,0,0.00
Nood,Tini Lux,1987,,,0,0.00
Rains,iota,15,,,0,0.00
120/Life,Amberjack,8,,,0,0.00
woolino,Sol de Janeiro,27,,,0,0.00
Seoul Ceuticals,The Plug Drink,2,,,0,0.00
Waterboy,Kosterina,3,,,0,0.00
iota,AVEC,11,,,0,0.00
Covey Skincare,Needed,1,,,0,0.00
Dirty Labs,Wondery,3,,,0,0.00
MAXPRO Fitness,SolaWave,193,,,0,0.00
Halfdays,Tiege Hanley,1,,,0,0.00
Parken Jewelry,UNTUCKit,13,,,0,0.00
gold + ivy,Bad Birdie,1,,,0,0.00
INTO THE AM,Uncharted Coffee Supply,1,,,0,0.00
Sunfood Superfoods,Dollar Shave Club,10,,,0,0.00
Seed + Mill,Canopy,12,,,0,0.00
Dropps,Pulp Pantry,4,,,0,0.00
Girlfriend Collective,Waterboy,51,,,0,0.00
Casa de Sante,wildwonder,3,,,0,0.00
LIVELY,Golde,10,,,0,0.00
Bodily,Kortni Jeane,4,,,0,0.00
Otteroo,Cadence,5,,,0,0.00
The HoneyPot,Oat Mama,1,,,0,0.00
Solly Baby,AAVRANI,3,,,0,0.00
Hummii: Healthy+Yummii Snacks,August Uncommon Tea,7,,,0,0.00
Seafolly Australia,Primally Pure,4,,,0,0.00
BLQK Coffee,Ancient Nutrition,2,,,0,0.00
ELVY Lab,Liquid I.V.,8,,,0,0.00
East Olivia,Houseplant,4,,,0,0.00
Gathre,21Seeds Tequila,1,,,0,0.00
woolino,doublesoul,12,,,0,0.00
Safari Ltd,Glimmer Wish,16,,,0,0.00
Bloomscape,Solly Baby,1,,,0,0.00
Nutshell Coolers,Modern Picnic,1,,,0,0.00
Coterie,For Days,10,,,0,0.00
Elegant Baby,Canopy,8,,,0,0.00
Firebelly Tea,Kindra,1,,,0,0.00
Spritz Society,Buffbunny Collection,8,,,0,0.00
Character Home,Bloomscape,2,,,0,0.00
Munk Pack,Dagne Dover,3,,,0,0.00
Out of the Woods,Bala,8,,,0,0.00
Molekule,BelliWelli,2,,,0,0.00
Electric Picks Jewelry,Tower 28 Beauty,31,,,0,0.00
Halfdays,Petaluma,1,,,0,0.00
good light,biom,22,,,0,0.00
Pretzels.com,Dakine,8,,,0,0.00
Whimsy and Row,Caraway,12,,,0,0.00
SANS Meal Bar,August Uncommon Tea,56,,,0,0.00
Carve Designs,Petunia Pickle Bottom,1,,,0,0.00
iHeartRaves,Dieux Skin,1,,,0,0.00
Out of the Woods,Yana Sleep,96,,,0,0.00
Nuudii System,Primally Pure,119,,,0,0.00
Spyder,Petaluma,10,,,0,0.00
Mario Badescu Skin Care,Goodlife Clothing,15,,,0,0.00
Rains,Evereden,2,,,0,0.00
Aria Beauty,Glamnetic,34,,,0,0.00
Birthdate Co.,Oradina,5,,,0,0.00
Fuse Lenses,Kosas Cosmetics,1,,,0,0.00
Ponto Footwear,ettitude,4,,,0,0.00
Newton Baby,wildwonder,479,,,0,0.00
biom,Bodily,7,,,0,0.00
MAXPRO Fitness,SPONGELLE,35,,,0,0.00
Tini Lux,OUAI,9,,,0,0.00
MantraBand,SPONGELLE,450,,,0,0.00
Dagne Dover,Felix Gray,52,,,0,0.00
Casa de Sante,Primally Pure,86,,,0,0.00
Fuse Lenses,HATCH,2,,,0,0.00
Pulp Pantry,Sprout Living,6,,,0,0.00
Tower 28 Beauty,DEUX,38,,,0,0.00
Ancient Nutrition,Thorlos,26,,,0,0.00
Blossom,Maverick & Co.,9,,,0,0.00
Aria Beauty,ieró Beauty™,4,,,0,0.00
Mario Badescu Skin Care,Maverick & Co.,9,,,0,0.00
Whimsy and Row,NOT!CE Hair Co,1,,,0,0.00
Koio,Brightech,5,,,0,0.00
jane iredale,doublesoul,6,,,0,0.00
Lollipetals,Beyond Polish,3,,,0,0.00
good light,The CrunchCup,1,,,0,0.00
Ruggish Co.,Ursa Major,4,,,0,0.00
MAXPRO Fitness,NOMAD Grills,1415,,,0,0.00
Pulp Pantry,Uncharted Coffee Supply,2,,,0,0.00
Thorlos,Saranoni Luxury Blankets,5,,,0,0.00
Blossom,SeaVees,3,,,0,0.00
Baby Delight,EVER Skincare,1,,,0,0.00
Out of the Woods,Waterboy,4,,,0,0.00
good light,Ellie & Becks,1,,,0,0.00
good light,Oradina,45,,,0,0.00
Rains,Tushbaby,3,,,0,0.00
Volcom,ZOA Energy,4,,,0,0.00
gold + ivy,NOTO Botanics,1,,,0,0.00
My Medic,Branch,3,,,0,0.00
Liquid I.V.,Gibsonlook,261,,,0,0.00
Motherhood,August Uncommon Tea,1,,,0,0.00
Sonrei Skin,ettitude,2,,,0,0.00
Consciously Baby,Serenity Kids,13,,,0,0.00
Gathre,True Botanicals,3,,,0,0.00
Safari Ltd,Newton Baby,115,,,0,0.00
Lollipetals,Morphe,11,,,0,0.00
Beekman 1802,Branch,32,,,0,0.00
Bodily,Hello Cake,34,,,0,0.00
Blossom,World Wide Stereo,26,,,0,0.00
TriLASTIN,Motherhood,19,,,0,0.00
ByHeart,Year & Day,5,,,0,0.00
SENREVE,Giften Market,1,,,0,0.00
Mixlab,Character Home,1,,,0,0.00
Mario Badescu Skin Care,Wren + Glory,3,,,0,0.00
Kortni Jeane,Modern Fuel,2,,,0,0.00
FullWell,iloveplum,5,,,0,0.00
ETOILE,Tower 28 Beauty,11,,,0,0.00
Conscia,M.M.LaFleur,24,,,0,0.00
Dr. Squatch,Petaluma,1,,,0,0.00
Dryft Sleep,Highline Wellness,1,,,0,0.00
OOBE BRAND,MANSCAPED,103,,,0,0.00
The HoneyPot,Willow Pumps,7,,,0,0.00
Amberjack,Siete Foods,109,,,0,0.00
World Wide Stereo,120/Life,2,,,0,0.00
SolaWave,Oeuf,1,,,0,0.00
Giften Market,Som Sleep,2,,,0,0.00
Elegant Baby,SENREVE,1,,,0,0.00
ByHeart,Vegamour,82,,,0,0.00
iota,Kinflyte,4,,,0,0.00
Pulp Pantry,Carve Designs,1,,,0,0.00
SENREVE,Cali's Books,1,,,0,0.00
Safari Ltd,Petunia Pickle Bottom,31,,,0,0.00
Parken Jewelry,World Wide Stereo,1,,,0,0.00
Mosi,Houseplant,15,,,0,0.00
The Secure Mat,Anyday,19,,,0,0.00
Sunfood Superfoods,Volcom,20,,,0,0.00
iloveplum,Willow Pumps,4,,,0,0.00
Rains,Sunfood Superfoods,4,,,0,0.00
Bloomscape,Snuggle Me Organic,10,,,0,0.00
BASIK CANDLE CO,Rains,2,,,0,0.00
SortJoy,Laura Geller,3,,,0,0.00
SACHEU Beauty,Snuggle Me Organic,5,,,0,0.00
Newton Baby,Wildfang,11,,,0,0.00
Beekman 1802,Goodlife Clothing,6,,,0,0.00
Renewal Mill,ezpz,1,,,0,0.00
BelliWelli,Tinto Amorio,3,,,0,0.00
Sensory Joy,Posh Peanut,36,,,0,0.00
ETICA Denim,Oradina,32,,,0,0.00
True Classic,World Wide Stereo,14,,,0,0.00
Baby K'tan,Cadence,5,,,0,0.00
happy being,MAXPRO Fitness,4,,,0,0.00
The CrunchCup,Moonglow,8,,,0,0.00
woolino,True Botanicals,48,,,0,0.00
NOTO Botanics,Nuudii System,9,,,0,0.00
Rains,Twillory,187,,,0,0.00
jane iredale,iloveplum,2,,,0,0.00
EVER Skincare,Ruggish Co.,1,,,0,0.00
Thousand Fell,Captain Blankenship,2,,,0,0.00
Storied Hats,Willow Pumps,2,,,0,0.00
Girlfriend Collective,Evereden,69,,,0,0.00
Sani,Doré,1,,,0,0.00
Inamorata,Foria,9,,,0,0.00
Why and Whale,Verdant Lyfe,2,,,0,0.00
Haand Inc,Saranoni Luxury Blankets,1,,,0,0.00
SolaWave,Haand Inc,1,,,0,0.00
INTO THE AM,Pretzels.com,43,,,0,0.00
iota,Better & Better,3,,,0,0.00
iota,Thousand Fell,22,,,0,0.00
True Made Foods,Las Jaras Wines,1,,,0,0.00
Waterboy,My Girl Wellness,2,,,0,0.00
Love Your Melon,QALO,2,,,0,0.00
Amberjack,Dr. Motion,28,,,0,0.00
Branch,Houseplant,24,,,0,0.00
Ritual Zero Proof,M.M.LaFleur,246,,,0,0.00
Halfdays,Nuudii System,260,,,0,0.00
Giften Market,Muslin Comfort,59,,,0,0.00
good light,Electric Picks Jewelry,2,,,0,0.00
INTO THE AM,JACK HENRY,1404,,,0,0.00
Glimmer Wish,Som Sleep,1,,,0,0.00
Branch,KraveBeauty,47,,,0,0.00
Marea,Dagne Dover,73,,,0,0.00
Red Racer Books,Dollar Shave Club,1,,,0,0.00
OUAI,Baby Delight,3,,,0,0.00
Covey Skincare,Juna,2,,,0,0.00
Ancient Nutrition,21Seeds Tequila,3,,,0,0.00
EVER Skincare,Boie USA,1,,,0,0.00
Billion Dollar Beauty,doublesoul,9,,,0,0.00
Lasso,LuminAID,21,,,0,0.00
Coterie,Twillory,4,,,0,0.00
Beekman 1802,"Dermaclara, LLC",60,,,0,0.00
Tiege Hanley,eyebobs,2,,,0,0.00
Molekule,Consciously Baby,5,,,0,0.00
eyebobs,Dakine,21,,,0,0.00
The Secure Mat,eyebobs,3,,,0,0.00
Billy Reid,Dropps,7,,,0,0.00
Boie USA,Kopari,102,,,0,0.00
Bad Birdie,ARMRA Colostrum™,53,,,0,0.00
Bare Babe,Volcom,3,,,0,0.00
Les Belles,HATCH,1,,,0,0.00
Cali's Books,Birthdate Co.,10,,,0,0.00
ARMRA Colostrum™,Felix Gray,23,,,0,0.00
The HoneyPot,AAVRANI,1,,,0,0.00
Aria Beauty,Sunfood Superfoods,2,,,0,0.00
Branch,SPONGELLE,3,,,0,0.00
Fresh Peaches,D.S. & Durga,1,,,0,0.00
Beginning Boutique,Felix Gray,22,,,0,0.00
Giften Market,True Classic,145,,,0,0.00
Moon Pals,KraveBeauty,1,,,0,0.00
Common Heir,True Classic,4,,,0,0.00
Le Mini Macaron,Natalist Co.,6,,,0,0.00
Hummii: Healthy+Yummii Snacks,jot,19,,,0,0.00
LIVELY,HATCH,124,,,0,0.00
Storied Hats,Gibsonlook,3,,,0,0.00
Thousand Fell,Twillory,61,,,0,0.00
My Girl Wellness,NOMAD Grills,38,,,0,0.00
Tubby Todd Bath Co.,Rains,1,,,0,0.00
Aria Beauty,Bed Babe,4,,,0,0.00
Glimmer Wish,Captain Blankenship,2,,,0,0.00
Halfdays,Calin,86,,,0,0.00
The Secure Mat,Pretzels.com,128,,,0,0.00
Carve Designs,Sensory Joy,1,,,0,0.00
gold + ivy,Waterboy,1,,,0,0.00
Storied Hats,WP Standard,2,,,0,0.00
Moon Pals,Monica & Andy Inc.,1,,,0,0.00
Spritz Society,Waterboy,13,,,0,0.00
Better & Better,MANSCAPED,44,,,0,0.00
Bellway,Dropps,6,,,0,0.00
Amberjack,Create,214,,,0,0.00
Cali's Books,Wolf & Shepherd,7,,,0,0.00
Hello Cake,Lollipetals,21,,,0,0.00
MantraBand,eyebobs,134,,,0,0.00
Covey Skincare,Branch,44,,,0,0.00
SANS Meal Bar,Spice Tribe,7,,,0,0.00
Newton Baby,Seafolly Australia,3,,,0,0.00
Consciously Baby,Moon Pals,1,,,0,0.00
Zensah,Waterboy,6,,,0,0.00
120/Life,"Dermaclara, LLC",7,,,0,0.00
Waterboy,Sijo,4,,,0,0.00
Lily Jade,Girlfriend Collective,10,,,0,0.00
Le Mini Macaron,Primally Pure,122,,,0,0.00
Sensory Joy,Once Upon a Farm,2,,,0,0.00
My Medic,Bad Birdie,2,,,0,0.00
vitruvi,Kosterina,1,,,0,0.00
Primally Pure,Common Era Jewelry,17,,,0,0.00
Hally Hair,Bask Suncare,3,,,0,0.00
Corpus Naturals,ELVY Lab,2,,,0,0.00
LILAS Wellness,Le Mini Macaron,1,,,0,0.00
EVER Skincare,iota,1,,,0,0.00
Blossom,LuminAID,3,,,0,0.00
Mario Badescu Skin Care,CanDo,6,,,0,0.00
