PUBLISHER_NAME,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND
Tula Skincare,Laura Geller,356,15,0,41,510.00
Laura Geller,SPONGELLE,20881,20,15,25,415.00
Dagne Dover,Bodily,1703,35,12,22,402.00
Laura Geller,Dollar Shave Club,69595,30,4,35,355.00
Solly Baby,Tubby Todd Bath Co.,3645,12,3,50,340.00
SolaWave,Vegamour,4201,50,3,8,310.00
Honest,Caden Lane,138,32,20,13,308.00
ARMRA Colostrum™,M.M.LaFleur,726,150,50,2,300.00
Lovevery,Nanit,491,50,25,7,300.00
Snuggle Me Organic,Dagne Dover,2727,30,20,12,290.00
Girlfriend Collective,Blueland,2024,33,0,9,264.00
Pretzels.com,Opopop,429,25,0,20,250.00
Faherty Brand,Ursa Major,5026,30,2,9,210.00
GRIP6,True Classic,3419,45,0,10,180.00
MantraBand,Laura Geller,6741,15,0,13,180.00
Licorice,True Classic,16724,45,0,14,180.00
Blueland,Vegamour,1610,50,4,7,170.00
Caden Lane,Little Words Project,5,15,10,14,170.00
Canopy,Caden Lane,45,32,20,6,168.00
Wolf & Shepherd,Laura Geller,139,15,0,12,165.00
Tubby Todd Bath Co.,Saranoni Luxury Blankets,2484,15,10,15,165.00
Laura Geller,Cadence,3111,35,15,9,165.00
Laura Geller,Muslin Comfort,8676,75,5,3,155.00
Afloral,Fable Home,414,100,50,2,150.00
Kosas Cosmetics,M.M.LaFleur,1967,150,50,1,150.00
eyebobs,Vegamour,236,50,2,3,150.00
Mario Badescu Skin Care,Divi,2446,50,0,3,150.00
My Medic,Liquid I.V.,8258,35,0,8,140.00
Laura Geller,Wolf & Shepherd,5510,50,15,7,140.00
Hedley & Bennett,Laura Geller,233,15,0,12,135.00
Afloral,Caden Lane,978,32,20,5,124.00
Laura Geller,Carve Designs,13786,60,10,7,120.00
Lunya,Laura Geller,120,15,0,12,120.00
Once Upon a Farm,Monica & Andy Inc.,1423,45,10,5,120.00
Dagne Dover,Monica & Andy Inc.,1676,45,10,8,115.00
Halfdays,Alpyn Beauty,106,40,13,4,110.00
Tower 28 Beauty,LIVELY,3338,35,20,2,110.00
Tower 28 Beauty,Crown Affair,1547,18,13,8,107.33
DEUX,Liquid I.V.,2667,35,0,4,105.00
Olive & June,Little Words Project,37,15,10,10,105.00
Licorice,Liquid I.V.,1912,35,0,4,105.00
Tula Skincare,Caden Lane,225,32,20,30,748.00
Create,True Classic,4630,45,0,14,450.00
Tubby Todd Bath Co.,Dreamland Baby,25340,40,0,73,440.00
Divi,Electric Picks Jewelry,2398,30,15,20,435.00
Vegamour,Laura Geller,363,15,0,38,435.00
Beyond Polish,Laura Geller,18835,15,0,37,405.00
Ursa Major,Laura Geller,115,15,0,28,390.00
Tubby Todd Bath Co.,Monica & Andy Inc.,4325,45,10,24,310.00
Bodily,Monica & Andy Inc.,2380,45,10,19,295.00
Otteroo,Caden Lane,3321,32,20,10,292.00
Glamnetic,Laura Geller,609,15,0,31,270.00
For Days,Laura Geller,303,15,0,31,270.00
