PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Bayesian_Rank,Pub_Impr_Rank,RPM_Rank,Agg_Rank,Clean_Agg_Rank
Love in Faith,Liquid I.V.,48966,35.0,0.0,17,350.0,7.15,0.0003,24.94,0.7725368495226695,6.0,2.0,8.0,7.0,3.0
Love in Faith,True Classic,20372,45.0,0.0,6,90.0,4.42,0.0003,25.87,0.8232188190777725,5.0,2.0,10.0,7.5,4.0
Love in Faith,Dollar Shave Club,18008,30.0,5.0,23,340.0,18.88,0.0013,13.45,0.4892854040174909,12.0,2.0,3.0,7.5,5.0
Love in Faith,Laura Geller,238261,15.0,0.0,450,5100.0,21.41,0.0019,12.3,0.39417164589708187,14.0,2.0,1.0,7.5,6.0
Love in Faith,Bodily,691,,,0,0.0,0.0,0.0,28.14,0.8996544301475913,3.0,2.0,14.0,8.5,7.0
Love in Faith,Little Words Project,2000,15.0,10.0,3,35.0,17.5,0.0015,13.27,0.42856453372201897,13.0,2.0,4.0,8.5,8.0
Love in Faith,Once Upon a Farm,221,,,0,0.0,0.0,0.0,28.0,0.8676747396160122,4.0,2.0,15.0,9.5,9.0
Love in Faith,Afloral,10015,30.0,20.0,1,30.0,3.0,0.0001,24.07,0.6787455235190207,8.0,2.0,11.0,9.5,10.0
Love in Faith,Love Your Melon,117,,,0,0.0,0.0,0.0,21.85,0.7267826288406034,7.0,2.0,16.0,11.5,11.0
Love in Faith,Sol de Janeiro,92106,20.0,10.0,97,1070.0,11.62,0.0011,10.18,0.2509821712983966,17.0,2.0,7.0,12.0,12.0
Love in Faith,biom,813,,,0,0.0,0.0,0.0,18.75,0.6299072366960434,9.0,2.0,17.0,13.0,13.0
Love in Faith,Tubby Todd Bath Co.,3559,10.0,0.0,9,50.0,14.05,0.0025,4.66,0.09585219649217641,20.0,2.0,6.0,13.0,14.0
Love in Faith,Dr. Squatch,79716,25.0,1.0,52,437.0,5.48,0.0007,10.24,0.202843711690493,18.0,2.0,9.0,13.5,15.0
Love in Faith,Solly Baby,362,,,0,0.0,0.0,0.0,18.0,0.5810351651109587,10.0,2.0,18.0,14.0,16.0
Love in Faith,UNTUCKit,6690,40.0,20.0,3,100.0,14.95,0.0004,30.67,0.0,23.0,2.0,5.0,14.0,17.0
Love in Faith,Lalo,488,,,0,0.0,0.0,0.0,17.93,0.49020724538355354,11.0,2.0,19.0,15.0,18.0
Love in Faith,Beyond Polish,3163,8.0,0.0,1,8.0,2.53,0.0003,6.62,0.15401025126210216,19.0,2.0,12.0,15.5,19.0
Love in Faith,"Dermaclara, LLC",1351,,,0,0.0,0.0,0.0,12.17,0.3431325231425621,15.0,2.0,20.0,17.5,20.0
Love in Faith,Coterie,325,,,0,0.0,0.0,0.0,10.66,0.29232024093361775,16.0,2.0,21.0,18.5,21.0
Love in Faith,Newton Baby,1422,,,0,0.0,0.0,0.0,2.61,0.056975588096180384,21.0,2.0,22.0,21.5,22.0
Love in Faith,MANSCAPED,15613,,,0,0.0,0.0,0.0,0.01,0.00917014971476008,22.0,2.0,23.0,22.5,23.0
Love in Faith,AAVRANI,16598,,,0,0.0,0.0,0.0,60.0,0.0,24.0,2.0,24.0,24.0,24.0
Love in Faith,120/Life,20523,,,0,0.0,0.0,0.0,20.0,0.0,25.0,2.0,25.0,25.0,25.0
Dr. Squatch,True Classic,98688,45.0,1.0,831,21397.0,216.81,0.0084,25.87,0.8232188190777725,1.0,3.0,2.0,1.5,1.0
Dr. Squatch,Liquid I.V.,68434,35.0,0.0,124,3185.0,46.54,0.0018,24.94,0.7725368495226695,2.0,3.0,4.0,3.0,2.0
Dr. Squatch,Love Your Melon,837,30.0,19.0,1,19.0,22.7,0.0012,21.85,0.7267826288406034,3.0,3.0,5.0,4.0,3.0
Dr. Squatch,Lalo,1238,20.0,10.0,7,140.0,113.09,0.0057,17.93,0.49020724538355354,6.0,3.0,3.0,4.5,4.0
Dr. Squatch,120/Life,68,35.0,11.0,4,80.0,1176.47,0.0588,20.0,0.0,10.0,3.0,1.0,5.5,5.0
Dr. Squatch,biom,9260,30.0,15.0,2,45.0,4.86,0.0002,18.75,0.6299072366960434,5.0,3.0,8.0,6.5,6.0
Dr. Squatch,Tubby Todd Bath Co.,631,10.0,0.0,1,10.0,15.85,0.0016,4.66,0.09585219649217641,7.0,3.0,6.0,6.5,7.0
Dr. Squatch,Afloral,93,,,0,0.0,0.0,0.0,24.07,0.6787455235190207,4.0,3.0,10.0,7.0,8.0
Dr. Squatch,UNTUCKit,9332,40.0,20.0,3,100.0,10.72,0.0003,30.67,0.0,9.0,3.0,7.0,8.0,9.0
Dr. Squatch,Newton Baby,4264,3.0,0.0,1,3.0,0.7,0.0002,2.61,0.056975588096180384,8.0,3.0,9.0,8.5,10.0
Sol de Janeiro,Willow Pumps,336,80.0,0.0,3,240.0,714.29,0.0089,63.46,1.0,1.0,4.0,1.0,1.0,1.0
Sol de Janeiro,Liquid I.V.,24518,35.0,0.0,121,3010.0,122.77,0.0049,24.94,0.7725368495226695,4.0,4.0,5.0,4.5,2.0
Sol de Janeiro,True Classic,3377,45.0,0.0,3,135.0,39.98,0.0009,25.87,0.8232188190777725,3.0,4.0,7.0,5.0,3.0
