PUBLISHER,BRAND_NAME,CPA,CPO,BRAND_IMPRESSIONS,CONV_COUNT,NEW_CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR
Liquid I.V.,Mario Badescu Skin Care,15.33333333,2.00000000,335,0,0,0.00,0.00000000,0.000000
Moby Wrap,BlendJet,,,244,0,0,0.00,0.00000000,0.000000
INTO THE AM,GRIP6,,,210,0,0,0.00,0.00000000,0.000000
Dirty Labs,Wildfang,,,113,0,0,0.00,0.00000000,0.000000
Curie,Dagne Dover,,,340,0,0,0.00,0.00000000,0.000000
Lunya,Dame,,,1239,8,5,280.00,225.98870056,0.006457
For Days,Snuggle Me Organic,,,179,0,0,0.00,0.00000000,0.000000
woolino,Newton Baby,,,2865,2,2,6.00,2.09424084,0.000698
Liquid I.V.,Create,,,303,1,0,15.00,49.50495050,0.003300
Bobbie,Elegant Baby,40.00000000,20.00000000,234,0,0,0.00,0.00000000,0.000000
Liquid I.V.,Pretzels.com,,,713,0,0,0.00,0.00000000,0.000000
Sprout Living,Highline Wellness,,,103,0,0,0.00,0.00000000,0.000000
SolaWave,Laura Geller,,,4568,6,6,90.00,19.70227671,0.001313
Volcom,Sol de Janeiro,20.00000000,10.00000000,1319,3,1,40.00,30.32600455,0.002274
Morphe,Lunya,150.00000000,75.00000000,2591,0,0,0.00,0.00000000,0.000000
Bodily,Solly Baby,,,1171,14,9,222.00,189.58155423,0.011956
Liquid I.V.,Blueland,33.00000000,0.00000000,719,0,0,0.00,0.00000000,0.000000
Little Words Project,Snuggle Me Organic,,,1201,1,0,10.00,8.32639467,0.000833
Primally Pure,Snuggle Me Organic,,,2164,5,2,70.00,32.34750462,0.002311
Ritual Zero Proof,Dr. Squatch,25.00000000,0.00000000,1513,0,0,0.00,0.00000000,0.000000
Divi,Laura Geller,,,3284,8,8,120.00,36.54080390,0.002436
Rains,Cadence,,,1123,0,0,0.00,0.00000000,0.000000
Beginning Boutique,Dreamland Baby,,,2105,0,0,0.00,0.00000000,0.000000
Tower 28 Beauty,Divi,,,670,0,0,0.00,0.00000000,0.000000
Modern Fuel,MANSCAPED,,,316,0,0,0.00,0.00000000,0.000000
Licorice,Morphe,,,154,0,0,0.00,0.00000000,0.000000
Needed,Tushbaby,,,694,0,0,0.00,0.00000000,0.000000
Snuggle Me Organic,HATCH,40.00000000,10.00000000,1231,5,2,110.00,89.35824533,0.004062
Beekman 1802,ARMRA Colostrum™,,,135,1,1,50.00,370.37037037,0.007407
Little Words Project,Divi,,,1221,1,1,50.00,40.95004095,0.000819
A Kids Co.,Blueland,33.00000000,0.00000000,108,1,1,33.00,305.55555556,0.009259
Tushbaby,Willow Pumps,,,2533,1,1,40.00,15.79155152,0.000395
Hedley & Bennett,Airsign,,,623,0,0,0.00,0.00000000,0.000000
woolino,HATCH,40.00000000,10.00000000,986,6,3,150.00,152.12981744,0.006085
Posh Peanut,Divi,,,167,1,1,50.00,299.40119760,0.005988
Morphe,Shinesty,20.00000000,10.00000000,665,0,0,0.00,0.00000000,0.000000
Canopy,Girlfriend Collective,,,152,1,0,5.00,32.89473684,0.006579
SeaVees,Common Era Jewelry,,,144,0,0,0.00,0.00000000,0.000000
Licorice,Character Home,150.00000000,50.00000000,840,0,0,0.00,0.00000000,0.000000
Dagne Dover,Primally Pure,,,566,2,2,20.00,35.33568905,0.003534
August Uncommon Tea,True Classic,45.00000000,0.00000000,998,0,0,0.00,0.00000000,0.000000
Maverick & Co.,Primally Pure,,,381,0,0,0.00,0.00000000,0.000000
Storq,Blueland,33.00000000,0.00000000,164,0,0,0.00,0.00000000,0.000000
D.S. & Durga,Laura Geller,,,502,0,0,0.00,0.00000000,0.000000
Native Pet,MANSCAPED,,,972,0,0,0.00,0.00000000,0.000000
Beginning Boutique,jot,,,1589,0,0,0.00,0.00000000,0.000000
Faherty Brand,Mario Badescu Skin Care,15.33333333,2.00000000,151,0,0,0.00,0.00000000,0.000000
Juna,Vegamour,50.00000000,0.00000000,453,2,2,100.00,220.75055188,0.004415
Amberjack,WP Standard,40.00000000,13.00000000,144,0,0,0.00,0.00000000,0.000000
Ami Colé,Lunya,150.00000000,75.00000000,222,0,0,0.00,0.00000000,0.000000
Glamnetic,NEIWAI,,,281,1,0,20.00,71.17437722,0.003559
Sunday Citizen,vitruvi,,,115,0,0,0.00,0.00000000,0.000000
Nanit,Bodily,,,3284,24,10,518.00,157.73447016,0.007308
Evereden,MANSCAPED,,,730,0,0,0.00,0.00000000,0.000000
Dagne Dover,Morphe,,,768,0,0,0.00,0.00000000,0.000000
Willow Pumps,Dollar Shave Club,30.00000000,0.00000000,457,0,0,0.00,0.00000000,0.000000
iota,Liquid I.V.,,,598,2,2,70.00,117.05685619,0.003344
Tower 28 Beauty,Crown Affair,,,1353,8,4,124.04,91.67775314,0.005913
Sol de Janeiro,Som Sleep,,,139,0,0,0.00,0.00000000,0.000000
Dollar Shave Club,Willow Pumps,,,198,0,0,0.00,0.00000000,0.000000
Anyday,Blueland,33.00000000,0.00000000,727,0,0,0.00,0.00000000,0.000000
Zensah,Moonglow,,,325,0,0,0.00,0.00000000,0.000000
MAXPRO Fitness,Dagne Dover,,,156,0,0,0.00,0.00000000,0.000000
Lovevery,SortJoy,,,155,0,0,0.00,0.00000000,0.000000
Rael,NEIWAI,,,112,0,0,0.00,0.00000000,0.000000
Andie,Curie,,,258,1,0,5.00,19.37984496,0.003876
Dreamland Baby,Sijo,,,356,0,0,0.00,0.00000000,0.000000
Tubby Todd Bath Co.,ByHeart,30.00000000,20.00000000,726,6,0,60.00,82.64462810,0.008264
Amberjack,Fuse Lenses,,,370,0,0,0.00,0.00000000,0.000000
Giften Market,Glamnetic,,,129,1,1,30.00,232.55813953,0.007752
Elegant Baby,Little Words Project,,,194,0,0,0.00,0.00000000,0.000000
Ursa Major,Dropps,25.00000000,0.00000000,145,0,0,0.00,0.00000000,0.000000
Caden Lane,A Kids Co.,,,219,0,0,0.00,0.00000000,0.000000
Thorlos,Wolf & Shepherd,,,452,2,0,30.00,66.37168142,0.004425
MAXPRO Fitness,Oars + Alps,55.00000000,0.00000000,250,1,0,43.00,172.00000000,0.004000
Tubby Todd Bath Co.,Canopy,,,150,0,0,0.00,0.00000000,0.000000
Trace Minerals,Tula Skincare,,,328,0,0,0.00,0.00000000,0.000000
QALO,Dr. Squatch,25.00000000,0.00000000,450,1,0,1.00,2.22222222,0.002222
Billy Reid,Liquid I.V.,,,808,0,0,0.00,0.00000000,0.000000
ARMRA Colostrum™,Glamnetic,,,245,5,1,70.00,285.71428571,0.020408
Beginning Boutique,Bellway,,,157,0,0,0.00,0.00000000,0.000000
Joanna Vargas Skincare,Vegamour,50.00000000,0.00000000,164,1,0,5.00,30.48780488,0.006098
Kosas Cosmetics,For Days,30.00000000,15.00000000,304,1,0,15.00,49.34210526,0.003289
Andie,Mario Badescu Skin Care,15.33333333,2.00000000,103,0,0,0.00,0.00000000,0.000000
Birthdate Co.,Dreamland Baby,,,142,0,0,0.00,0.00000000,0.000000
