PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Bayesian_Rank,Pub_Impr_Rank,RPM_Rank,Clean_Agg_Rank
Love in Faith,AAVRANI,16598,,,0,0.0,0.0,0.0,13.523384657684904,0.0,24.0,2.0,24.0,24.0
Love in Faith,120/Life,20523,,,0,0.0,0.0,0.0,13.523384657684904,0.0,25.0,2.0,25.0,25.0
Dr. Squatch,True Classic,98688,45.0,0.0,152,6255.0,63.38,0.0015,38.5,0.9474662286658876,1.0,3.0,1.0,1.0
Dr. Squatch,Love Your Melon,837,30.0,19.0,1,19.0,22.7,0.0012,22.26,0.7896438085010055,2.0,3.0,2.0,2.0
Dr. Squatch,Liquid I.V.,68434,35.0,0.0,38,805.0,11.76,0.0006,21.0,0.7371047727344515,3.0,3.0,4.0,3.0
Dr. Squatch,Tubby Todd Bath Co.,631,10.0,0.0,1,10.0,15.85,0.0016,7.8,0.20910325657790835,6.0,3.0,3.0,4.0
Dr. Squatch,Afloral,93,,,0,0.0,0.0,0.0,25.0,0.6847657854006759,4.0,3.0,7.0,5.0
Dr. Squatch,Lalo,1238,,,0,0.0,0.0,0.0,16.0,0.5790033376501679,5.0,3.0,8.0,6.0
Dr. Squatch,Newton Baby,4264,3.0,0.0,1,3.0,0.7,0.0002,2.45,0.05330237847057708,7.0,3.0,6.0,7.0
Dr. Squatch,biom,9260,30.0,15.0,1,30.0,3.24,0.0001,30.0,0.0,9.0,3.0,5.0,8.0
Dr. Squatch,UNTUCKit,9332,,,0,0.0,0.0,0.0,28.89,0.0,8.0,3.0,9.0,9.0
Dr. Squatch,120/Life,68,,,0,0.0,0.0,0.0,13.523384657684904,0.0,10.0,3.0,10.0,10.0
Sol de Janeiro,True Classic,3377,45.0,0.0,2,90.0,26.65,0.0006,38.5,0.9474662286658876,1.0,4.0,2.0,1.0
Sol de Janeiro,Afloral,949,30.0,20.0,1,30.0,31.61,0.0011,25.0,0.6847657854006759,6.0,4.0,1.0,2.0
Sol de Janeiro,Liquid I.V.,24518,35.0,0.0,22,420.0,17.13,0.0009,21.0,0.7371047727344515,5.0,4.0,5.0,3.0
Sol de Janeiro,Willow Pumps,336,,,0,0.0,0.0,0.0,33.85,0.8945060383040103,2.0,4.0,9.0,4.0
Sol de Janeiro,Bodily,85,,,0,0.0,0.0,0.0,26.16,0.8399717826421134,3.0,4.0,10.0,5.0
