"ORDER_DATE","IMPRESSION_SEQUENCE","ORDER_COUNT","SESSION_COUNT","ADVERTISER_COUNT","CONV_COUNT","AD_SPEND"
"2024-03-01","subsequent_under_half_week","4692","8569","24900","66",592.72
"2024-03-02","first_day","56007","67831","184056","738",12396.78
"2024-03-02","subsequent_over_half_week","7788","20562","57999","201",2036.44
"2024-03-02","subsequent_under_half_week","5444","9917","29325","107",1710.5
"2024-03-03","first_day","46853","56646","154334","588",9138.49
"2024-03-03","subsequent_over_half_week","6267","16387","45197","142",1716.5
"2024-03-03","subsequent_under_half_week","5148","9605","28298","78",1168
"2024-03-04","first_day","46377","56990","155609","559",8573.95
"2024-03-04","subsequent_over_half_week","5805","14967","41323","117",1399.94
"2024-03-04","subsequent_under_half_week","5191","9826","28279","73",1095.72
"2024-03-05","first_day","45564","56307","153841","767",10353.11
"2024-03-05","subsequent_over_half_week","5626","14196","38637","135",1323.72
"2024-03-05","subsequent_under_half_week","4816","8947","25131","100",1083.98
"2024-03-06","first_day","47569","58856","162075","1019",12752.33
"2024-03-06","subsequent_over_half_week","6231","15927","44826","112",1063
"2024-03-06","subsequent_under_half_week","4868","9080","24162","114",984
"2024-03-07","first_day","49373","60849","160552","886",11521.97
"2024-03-07","subsequent_over_half_week","6430","17048","48026","167",1483.6
"2024-03-07","subsequent_under_half_week","4380","7624","19820","92",717.2
"2024-03-08","first_day","46116","57205","141926","880",10668.27
"2024-03-08","subsequent_over_half_week","7335","20577","57616","361",3348.77
"2024-03-08","subsequent_under_half_week","4101","7085","18437","100",1042.31
"2024-03-09","first_day","47553","58019","143860","833",11635.64
"2024-03-09","subsequent_over_half_week","7407","20460","56910","380",3482.6
"2024-03-09","subsequent_under_half_week","4552","7862","21455","102",956.7
"2024-03-10","first_day","43983","53803","133362","577",7448.73
"2024-03-10","subsequent_over_half_week","6207","16651","45431","334",3340.98
"2024-03-10","subsequent_under_half_week","4669","8517","22582","86",939.25
"2024-03-11","first_day","41884","51927","130611","621",8538.66
"2024-03-11","subsequent_over_half_week","5862","15088","42560","287",2541.28
"2024-03-11","subsequent_under_half_week","4887","9249","24745","70",619.1
"2024-03-12","first_day","40357","49724","121902","613",8217.53
"2024-03-12","subsequent_over_half_week","5692","14593","40613","228",2229.18
"2024-03-12","subsequent_under_half_week","4235","8065","20978","70",792
"2024-03-13","first_day","47383","57588","139367","762",10532.88
"2024-03-13","subsequent_over_half_week","6453","16913","47335","202",1690.82
"2024-03-13","subsequent_under_half_week","4475","8293","21123","67",911.5
"2024-03-14","first_day","49983","61137","144167","769",9562.93
"2024-03-14","subsequent_over_half_week","8169","21228","59507","186",1936.01
"2024-03-14","subsequent_under_half_week","4261","7420","19082","81",807
"2024-03-15","first_day","50695","62024","148521","717",9418.47
"2024-03-15","subsequent_over_half_week","10160","27758","77701","218",3011.54
"2024-03-15","subsequent_under_half_week","4275","7268","18828","84",881
"2024-03-16","first_day","45624","55615","136354","668",8336.88
"2024-03-16","subsequent_over_half_week","9639","26195","73639","245",2389.44
"2024-03-16","subsequent_under_half_week","4552","7796","20778","70",443.1
"2024-03-17","first_day","46062","56178","135132","780",9610.9
"2024-03-17","subsequent_over_half_week","8779","22801","63424","155",2186.58
