disco_event_time,disco_order_time,DAYS_TO_ATTRIBUTION,EVENT_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,BILLABLE_AMOUNT,event_sec_dist,order_sec_dist,avg_sec_dist,cl_order_num_count,claim?,cl_order_num,northbeam_platform,cl_source,cl_order_time,cl_event_time,cl_attribution_days
2023-12-29 01:37:28.028000+00:00,2024-01-02 14:33:18+00:00,4,display,returning,consumer_hash,20,245,5043,2644,1,,2339142,Organic,direct,2024-01-02 13:09:15+00:00,2023-12-29 01:33:23.398000+00:00,4
2023-12-28 17:49:22.254000+00:00,2024-01-01 01:15:40+00:00,4,display,new,consumer_hash,32,5084,209,2646,4,no,2335883,Organic,direct,2024-01-01 01:19:09+00:00,2023-12-28 16:24:38.506000+00:00,3
2024-01-29 20:06:58.502000+00:00,2024-01-30 01:19:23+00:00,1,display,returning,direct_email_match,20,4014,1304,2659,3,,2397538,MNTN,mntn,2024-01-30 01:41:07+00:00,2024-01-29 19:00:04.758000+00:00,0
2024-01-02 15:51:00.285000+00:00,2024-01-04 20:12:05+00:00,2,display,returning,consumer_hash,20,1383,3943,2663,5,,2344602,Organic,direct,2024-01-04 21:17:48+00:00,2024-01-02 15:27:57.287000+00:00,2
2024-01-06 20:14:58.944000+00:00,2024-01-07 02:42:48+00:00,1,display,returning,order_mapping_hash,20,5024,318,2671,3,,2349429,Organic Search,referral,2024-01-07 02:37:30+00:00,2024-01-06 18:51:15.194000+00:00,0
2024-01-02 14:03:41.844000+00:00,2024-01-02 16:07:44+00:00,0,display,new,device_identifier_hash,32,1234,4132,2683,1,,2339278,Facebook Ads,fb,2024-01-02 14:58:52+00:00,2024-01-02 14:24:16.067000+00:00,0
2024-01-11 17:35:08.974000+00:00,2024-01-13 11:07:44+00:00,2,display,returning,direct_email_match,20,5351,25,2688,2,,2361136,Organic,direct,2024-01-13 11:08:09+00:00,2024-01-11 19:04:20.009000+00:00,1
2024-01-31 19:12:13.500000+00:00,2024-01-31 20:58:01+00:00,0,display,new,device_identifier_hash,32,797,4622,2709,1,,2401282,Klaviyo,utm medium - email,2024-01-31 22:15:03+00:00,2024-01-31 19:25:30.283000+00:00,0
2024-01-01 03:57:23.487000+00:00,2024-01-02 20:05:46+00:00,1,display,new,consumer_hash,32,1968,3463,2715,17,,2339833,Google Ads,adwords,2024-01-02 19:08:03+00:00,2024-01-01 03:24:35.926000+00:00,1
2024-01-01 19:43:51.297000+00:00,2024-01-04 13:45:34+00:00,3,display,returning,direct_email_match,20,862,4571,2716,3,,2343703,Facebook Ads,fb,2024-01-04 15:01:45+00:00,2024-01-01 19:58:13.071000+00:00,2
2024-01-02 05:27:29.149000+00:00,2024-01-02 18:29:26+00:00,0,display,new,consumer_hash,32,3120,2317,2719,17,,2339833,MNTN,mntn,2024-01-02 19:08:03+00:00,2024-01-02 04:35:29.094000+00:00,0
2024-01-15 11:36:13.849000+00:00,2024-01-19 21:09:52+00:00,4,display,new,direct_email_match,32,3308,2134,2721,1,,2375018,Facebook Ads,fb,2024-01-19 20:34:18+00:00,2024-01-15 10:41:05.633000+00:00,4
2024-01-30 23:03:52.611000+00:00,2024-01-31 00:51:44+00:00,1,display,new,direct_email_match,32,282,5195,2738,2,,2399391,Organic,direct,2024-01-30 23:25:09+00:00,2024-01-30 22:59:10.867000+00:00,0
2024-01-07 03:16:05.072000+00:00,2024-01-09 12:22:09+00:00,2,display,returning,direct_email_match,20,5354,145,2750,2,,2353700,Organic,direct,2024-01-09 12:19:44+00:00,2024-01-07 04:45:19.523000+00:00,2
2024-01-02 10:23:21.992000+00:00,2024-01-03 17:49:35+00:00,1,display,returning,order_mapping_hash,20,4224,1286,2755,5,,2341692,Facebook Ads,fb,2024-01-03 17:28:09+00:00,2024-01-02 11:33:45.975000+00:00,1
2024-01-17 20:34:57.157000+00:00,2024-01-17 23:41:41+00:00,0,display,new,device_identifier_hash,32,2506,3008,2757,1,,2371320,Google Ads,adwords,2024-01-17 22:51:33+00:00,2024-01-17 19:53:10.839000+00:00,0
2024-01-09 23:44:14.527000+00:00,2024-01-11 16:41:14+00:00,2,display,new,direct_email_match,32,4322,1196,2759,6,,2357693,Organic,direct,2024-01-11 17:01:10+00:00,2024-01-10 00:56:16.110000+00:00,1
2024-01-03 03:33:38.002000+00:00,2024-01-05 01:57:28+00:00,2,display,returning,order_mapping_hash,20,4321,1202,2761,6,,2345087,Google Ads,adwords,2024-01-05 01:37:26+00:00,2024-01-03 02:21:37.006000+00:00,1
2024-01-21 22:40:30.770000+00:00,2024-01-22 01:04:24+00:00,1,display,new,device_identifier_hash,32,3033,2497,2765,5,,2380303,Organic Search,referral,2024-01-22 00:22:47+00:00,2024-01-21 23:31:03.960000+00:00,0
2023-12-30 23:38:32.765000+00:00,2024-01-01 21:26:47+00:00,2,display,new,consumer_hash,32,2457,3080,2769,3,no,2337649,Facebook Ads,utm medium - Facebook_Mobile_Feed,2024-01-01 20:35:27+00:00,2023-12-30 22:57:35.588000+00:00,1
2024-01-08 16:49:26.607000+00:00,2024-01-13 03:20:27+00:00,5,display,new,direct_email_match,32,5517,25,2771,3,,2360870,Organic Search,referral,2024-01-13 03:20:52+00:00,2024-01-08 15:17:30.014000+00:00,4
2024-01-20 14:18:24.480000+00:00,2024-01-20 19:30:10+00:00,0,display,returning,device_identifier_hash,20,4450,1112,2781,2,,2377255,Google Ads,adwords,2024-01-20 19:11:38+00:00,2024-01-20 15:32:34.920000+00:00,0
2024-01-16 17:37:22.961000+00:00,2024-01-17 01:22:34+00:00,1,display,returning,direct_email_match,20,187,5376,2781,3,,2369893,Organic,direct,2024-01-17 02:52:10+00:00,2024-01-16 17:34:16.306000+00:00,0
2024-01-08 00:24:51.854000+00:00,2024-01-10 16:54:22+00:00,2,display,lapsed,direct_email_match,32,1922,3671,2796,3,,2355994,Organic,direct,2024-01-10 17:55:33+00:00,2024-01-08 00:56:53.499000+00:00,2
2024-01-23 02:39:33.859000+00:00,2024-01-26 05:52:18+00:00,3,display,returning,direct_email_match,20,5569,26,2798,1,,2388831,Facebook Organic,fb,2024-01-26 05:52:44+00:00,2024-01-23 04:12:22.986000+00:00,3
2024-01-27 10:32:03.037000+00:00,2024-01-27 14:20:43+00:00,0,display,returning,device_identifier_hash,20,5232,393,2812,4,,2391454,Google Ads,adwords,2024-01-27 14:27:16+00:00,2024-01-27 11:59:14.726000+00:00,0
2023-12-27 01:27:48.689000+00:00,2024-01-03 23:00:12+00:00,7,display,returning,consumer_hash,20,3620,2029,2825,5,,2342309,Google Ads,adwords,2024-01-03 22:26:23+00:00,2023-12-27 00:27:28.426000+00:00,7
2024-01-02 22:11:53.168000+00:00,2024-01-03 17:21:14+00:00,1,display,returning,direct_email_match,20,1585,4072,2829,3,,2341863,Organic,direct,2024-01-03 18:29:06+00:00,2024-01-02 21:45:27.854000+00:00,0
2024-01-23 15:41:54.393000+00:00,2024-01-23 20:53:28+00:00,0,display,returning,direct_email_match,20,289,5370,2829,1,,2384269,Rakuten,utm medium -,2024-01-23 22:22:58+00:00,2024-01-23 15:46:43.258000+00:00,0
2023-12-28 03:42:32.654000+00:00,2024-01-01 16:37:02+00:00,4,display,returning,consumer_hash,20,2472,3201,2836,4,no,2336898,MNTN,mntn,2024-01-01 15:43:41+00:00,2023-12-28 04:23:44.505000+00:00,4
2024-01-22 21:07:04.052000+00:00,2024-01-27 17:00:11+00:00,5,display,returning,direct_email_match,20,5124,563,2843,2,,2391830,Disco,utm medium - disco_paid,2024-01-27 17:09:34+00:00,2024-01-22 22:32:27.867000+00:00,4
2024-01-01 17:00:13.651000+00:00,2024-01-06 14:54:58+00:00,5,display,new,direct_email_match,32,2149,3545,2847,5,,2347822,Organic,direct,2024-01-06 13:55:53+00:00,2024-01-01 17:36:03.016000+00:00,4
2024-01-28 14:30:45.288000+00:00,2024-01-28 16:10:01+00:00,0,display,new,device_identifier_hash,32,2155,3545,2850,1,,2393535,Organic,direct,2024-01-28 15:10:56+00:00,2024-01-28 15:06:40.086000+00:00,0
2024-01-12 22:45:44.073000+00:00,2024-01-14 00:39:41+00:00,2,display,returning,direct_email_match,20,5719,25,2872,4,,2363012,Organic,direct,2024-01-14 00:40:06+00:00,2024-01-12 21:10:25.260000+00:00,1
2024-01-02 05:23:12.220000+00:00,2024-01-04 17:18:23+00:00,2,display,new,consumer_hash,32,373,5378,2876,1,,2344261,Google Ads,adwords,2024-01-04 18:48:01+00:00,2024-01-02 05:29:25.357000+00:00,2
2024-01-27 22:39:22.312000+00:00,2024-01-28 01:26:38+00:00,1,display,new,device_identifier_hash,32,2313,3449,2881,3,,2392897,Organic,direct,2024-01-28 02:24:07+00:00,2024-01-27 23:17:54.824000+00:00,0
2024-01-20 14:52:57.931000+00:00,2024-01-21 19:09:50+00:00,1,display,returning,direct_email_match,20,5743,25,2884,2,,2379588,Klaviyo,utm medium - email,2024-01-21 19:10:15+00:00,2024-01-20 16:28:40.583000+00:00,1
2023-12-27 16:16:04.621000+00:00,2024-01-03 19:36:55+00:00,7,display,returning,consumer_hash,20,1134,4659,2896,4,,2342158,Organic,direct,2024-01-03 20:54:34+00:00,2023-12-27 16:34:58.125000+00:00,7
2024-01-28 17:18:38.210000+00:00,2024-01-28 21:17:37+00:00,0,display,new,device_identifier_hash,32,1215,4586,2900,2,,2394248,Organic,direct,2024-01-28 20:01:11+00:00,2024-01-28 17:38:52.746000+00:00,0
2024-01-04 17:03:21.525000+00:00,2024-01-06 20:58:06+00:00,2,display,new,order_mapping_hash,32,1920,3883,2902,2,,2348537,Organic,direct,2024-01-06 19:53:23+00:00,2024-01-04 16:31:21.516000+00:00,2
2024-01-01 00:13:12.451000+00:00,2024-01-03 17:21:03+00:00,2,display,returning,order_mapping_hash,20,4762,1048,2905,4,,2341721,Facebook Ads,fb,2024-01-03 17:38:31+00:00,2024-01-01 01:32:34.709000+00:00,2
2024-01-03 19:13:51.409000+00:00,2024-01-04 21:15:50+00:00,1,display,new,direct_email_match,32,5717,118,2918,5,,2344602,Organic,direct,2024-01-04 21:17:48+00:00,2024-01-03 20:49:08.890000+00:00,1
2024-01-03 16:19:32.333000+00:00,2024-01-06 16:52:57+00:00,3,display,returning,consumer_hash,20,3936,1901,2918,4,,2348233,MNTN,mntn,2024-01-06 17:24:38+00:00,2024-01-03 17:25:07.842000+00:00,2
2024-01-09 18:43:35.194000+00:00,2024-01-09 20:59:22+00:00,0,display,returning,device_identifier_hash,20,2620,3217,2919,3,,2354700,Organic,direct,2024-01-09 21:52:59+00:00,2024-01-09 17:59:55.175000+00:00,0
2023-12-31 18:12:51.429000+00:00,2024-01-01 15:56:55+00:00,1,display,returning,consumer_hash,20,637,5209,2923,8,no,2337173,MNTN,mntn,2024-01-01 17:23:44+00:00,2023-12-31 18:02:14.307000+00:00,0
2024-01-20 18:34:14.784000+00:00,2024-01-21 19:52:18+00:00,1,display,new,direct_email_match,32,3328,2523,2926,2,,2379588,Organic,direct,2024-01-21 19:10:15+00:00,2024-01-20 17:38:46.294000+00:00,1
2024-01-22 18:43:55.840000+00:00,2024-01-28 15:05:23+00:00,6,display,returning,direct_email_match,20,5831,25,2928,2,,2393517,Facebook Organic,fb,2024-01-28 15:05:48+00:00,2024-01-22 17:06:44.703000+00:00,5
2024-01-21 23:01:41.121000+00:00,2024-01-22 01:31:02+00:00,1,display,returning,consumer_hash,20,1763,4095,2929,5,,2380303,Organic Search,referral,2024-01-22 00:22:47+00:00,2024-01-21 23:31:03.960000+00:00,0
2024-01-09 22:30:04.037000+00:00,2024-01-10 00:42:58+00:00,1,display,returning,device_identifier_hash,20,2515,3343,2929,1,,2355062,Organic,direct,2024-01-10 01:38:41+00:00,2024-01-09 23:11:59.199000+00:00,0
2024-01-12 18:34:16.932000+00:00,2024-01-12 22:18:07+00:00,0,display,new,device_identifier_hash,32,5738,137,2938,3,,2360292,Organic,direct,2024-01-12 22:20:24+00:00,2024-01-12 20:09:55.297000+00:00,0
2024-01-02 10:09:34.386000+00:00,2024-01-06 00:23:21+00:00,4,display,new,order_mapping_hash,32,4510,1373,2941,7,,2347132,MNTN,mntn,2024-01-06 00:46:14+00:00,2024-01-02 11:24:44.202000+00:00,3
2024-01-17 23:30:49.322000+00:00,2024-01-19 17:56:26+00:00,2,display,new,direct_email_match,32,2514,3410,2962,2,,2374796,Klaviyo,utm medium - email,2024-01-19 18:53:16+00:00,2024-01-18 00:12:43.422000+00:00,1
