ORDER_ID,ORDER_IDENTITY_ID,ORDER_PUBLISHER_UUID,ORDER_BRAND_ID,ORDER_BRAND_NAME,ORDER_CREATED_AT,ORDER_COST,REMOTE_ORDER_ID,ORDER_NAME,LAST_ORDER_CREATED_AT,EVENT_ID,EVENT_IDENTITY_ID,EVENT_PUBLISHER_UUID,EVENT_BRAND_ID,EVENT_BRAND_NAME,EVENT_CREATED_AT,EVENT_CLASSIFICATION,HASH_IDENTIFIER,ATTRIBUTION_METHOD,CONVERSION_TYPE,CUSTOMER_TYPE,DAYS_TO_ATTRIBUTION,TARGET_CPA,TARGET_CPO,CONVERSION_WINDOW,START_DATE,END_DATE,MAX_BUDGET,SCHEDULETRACKER_REMOTE_ID,CREATED_AT,UPDATED_AT,BILLABLE_AMOUNT
5154806267964,8658788,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-01T04:15:55Z,67.68,5154806267964,2336254,2022-11-27T02:58:56Z,e336fa75-fa2c-4ecd-a3f1-4ffc2e8b5a37,8658788,fe3a4222-af90-4b98-acfe-7d592dbd2948,4321,FullWell,2023-12-25T15:01:24.032Z,display,4e0289909f297187f73f7afe5b4557ac,consumer_hash,cross-sell,lapsed,7,32.00,20.00,14,2023-12-01T08:01:00.055701Z,2024-01-01T07:59:59.999999Z,1000000.00,bod-schedule-68ba5cd4-2d68-410c-8119-8e7cffbaf3cd,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
5179850588220,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-22T18:15:17Z,71.50,5179850588220,2381873,2022-11-28T18:15:08Z,a97c07a7-7d9b-4756-a1ac-759fd712a70c,1728935,25b79f60-3adc-4923-9ad9-154c96a67133,4360,Divi,2024-01-16T08:59:17.096Z,display,Erpan90XYEZt+Cl/28o+EfH633MpT5RE9mh2I+lqq9Q=,direct_email_match,cross-sell,lapsed,6,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
5178165166140,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-21T02:15:25Z,193.59,5178165166140,2378261,2023-10-20T15:37:57Z,8a74f71a-94fe-4fdb-ba6c-c4e137f08c49,1231844,53906a27-6b56-4c15-af87-aa4434bb0497,4380,Tubby Todd Bath Co.,2024-01-16T11:28:02.729Z,display,/QnvwoIKngKRhJRW0IhaOU0cjyJ9lFuoxIEbAtZEPCY=,direct_email_match,cross-sell,returning,5,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5180234006588,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-23T02:00:30Z,47.09,5180234006588,2382728,2023-12-11T16:06:40Z,dc7cd3a3-81aa-4529-99ed-707ac115b98b,10386442,745c7940-9775-487e-b7ad-19206a05a6c0,3880,Bodily,2024-01-16T13:16:10.137Z,display,B27JSFdjaAQzvcBFTT2AdupwlpBCKkUOtUG3g8S370E=,direct_email_match,cross-sell,returning,7,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5179879489596,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-22T18:44:30Z,93.42,5179879489596,2381948,,e3e32ed6-923d-4d1f-95d7-2358499e412f,10288821,b6f8dbb2-3e80-4126-8a68-fc2f8130b526,4313,Dagne Dover,2024-01-16T15:05:37.524Z,click,cb+r6Ku8p3a+eb77iLOM0BWf6QsByFgW2x4CLRqibbI=,direct_email_match,cross-sell,new,6,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
5173673918524,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-16T16:29:47Z,59.81,5173673918524,2368655,2024-01-02T17:53:57Z,9dd2e559-9f80-463f-9c62-e43ab37cd6b8,,14a2d993-46db-4efb-b20f-b6f34a579888,2136,Vegamour,2024-01-16T15:11:54.379Z,display,c1530b433638cddc15043cc7e36c3b44,device_identifier_hash,cross-sell,returning,0,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5180282863676,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-23T02:57:04Z,120.11,5180282863676,2382869,2023-11-15T11:11:59Z,182692d7-a4e0-4444-bf96-c4a941f34f71,3449778,53906a27-6b56-4c15-af87-aa4434bb0497,4380,Tubby Todd Bath Co.,2024-01-16T15:18:38.502Z,display,vmICNAKtKC2K6vvGCyydZ8Qgj5sRcMhDWYnsw7fvmSA=,direct_email_match,cross-sell,returning,7,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5174489481276,2156659,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-17T12:51:47Z,50.00,5174489481276,2370285,2023-08-05T00:39:22Z,f6d2983d-dbba-47b5-be3b-af3331d2637f,2156659,d2a7642e-3a83-41a7-bc36-7ff4f5266c81,2345,Tushbaby,2024-01-16T15:20:19.155Z,display,bbad6330f7df2e92579dc8eaf1ea98a1,consumer_hash,cross-sell,returning,1,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5173744533564,,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-16T17:53:54Z,58.99,5173744533564,2368824,2023-12-06T15:01:58Z,6ba55578-274c-40d7-bc75-7d25e085e64d,,80b80b6f-385c-4197-9114-ac7125063854,1682,Coterie,2024-01-16T15:22:03.837Z,display,4c9a2c2d0b6263b706c10bf56e4dc2ed,device_identifier_hash,cross-sell,returning,0,32.00,20.00,14,2024-01-01T08:01:00.036345Z,2024-02-01T07:59:59.999999Z,1000000.00,bod-schedule-03bad32e-2d44-4075-80b4-e5185b32aa7c,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,20.00
5154798174268,7088424,cc2bea44-177f-4df3-85ce-49a128e8583c,2922,Caden Lane,2024-01-01T03:55:05Z,50.45,5154798174268,2336212,,562a407f-6d9f-46b7-a9b8-c115c624cb3b,2604196,53906a27-6b56-4c15-af87-aa4434bb0497,4380,Tubby Todd Bath Co.,2023-12-27T02:17:41.679Z,display,697679dc8a021fe1479cbf49f77f6202,order_mapping_hash,cross-sell,new,5,32.00,20.00,14,2023-12-01T08:01:00.055701Z,2024-01-01T07:59:59.999999Z,1000000.00,bod-schedule-68ba5cd4-2d68-410c-8119-8e7cffbaf3cd,2024-03-11T09:23:09.249Z,2024-03-11T09:23:09.249Z,32.00
