event_diff_sec,formatted_time_diff
-5645.2,1.6 hr before
-5605.3,1.6 hr before
-5570.5,1.5 hr before
-5489.8,1.5 hr before
-5489.8,1.5 hr before
-5481.8,1.5 hr before
-5478.9,1.5 hr before
-5467.8,1.5 hr before
-5465.9,1.5 hr before
-5457.1,1.5 hr before
-5400.9,1.5 hr before
-5266.9,1.5 hr before
-5221.0,1.5 hr before
-5193.4,1.4 hr before
-5192.6,1.4 hr before
-5160.0,1.4 hr before
-4932.8,1.4 hr before
-4813.5,1.3 hr before
-4813.5,1.3 hr before
-4811.9,1.3 hr before
-4779.5,1.3 hr before
-4520.3,1.3 hr before
-4520.2,1.3 hr before
-4446.5,1.2 hr before
-4394.9,1.2 hr before
-4381.7,1.2 hr before
-4314.8,1.2 hr before
-4271.6,1.2 hr before
-4054.3,1.1 hr before
-4035.7,1.1 hr before
-3914.6,1.1 hr before
-3862.1,1.1 hr before
-3818.7,1.1 hr before
-3693.0,1 hr before
-3599.2,60 min before
-3570.5,59.5 min before
-3561.5,59.4 min before
-3388.0,56.5 min before
-3373.3,56.2 min before
-3361.4,56 min before
-3338.5,55.6 min before
-3330.9,55.5 min before
-3178.3,53 min before
-3074.9,51.2 min before
-3051.1,50.9 min before
-3036.3,50.6 min before
-2930.0,48.8 min before
-2832.5,47.2 min before
-2553.2,42.6 min before
-2528.3,42.1 min before
-2520.6,42 min before
-2490.4,41.5 min before
-2482.1,41.4 min before
-2479.8,41.3 min before
-2442.8,40.7 min before
-21544.0,6 hr before
-21750.0,6 hr before
-2432.9,40.5 min before
-22068.0,6.1 hr before
-2426.7,40.4 min before
-2348.7,39.1 min before
-2291.0,38.2 min before
-2229.8,37.2 min before
-2105.2,35.1 min before
-1919.4,32 min before
-22687.0,6.3 hr before
-1868.5,31.1 min before
-1665.9,27.8 min before
-1579.8,26.3 min before
-23150.0,6.4 hr before
-23172.0,6.4 hr before
-1579.8,26.3 min before
-1578.9,26.3 min before
-1571.6,26.2 min before
-1499.7,25 min before
-23886.0,6.6 hr before
-1385.8,23.1 min before
-1289.0,21.5 min before
-1215.9,20.3 min before
-1093.8,18.2 min before
-1089.6,18.2 min before
-1027.0,17.1 min before
-976.0,16.3 min before
-26895.0,7.5 hr before
-903.5,15.1 min before
-890.0,14.8 min before
-27557.0,7.7 hr before
-830.0,13.8 min before
-828.5,13.8 min before
-731.1,12.2 min before
-727.0,12.1 min before
-660.4,11 min before
-632.9,10.5 min before
-618.9,10.3 min before
-587.5,9.8 min before
-556.4,9.3 min before
-469.6,7.8 min before
-463.0,7.7 min before
-30829.0,8.6 hr before
-30837.0,8.6 hr before
-438.0,7.3 min before
-405.0,6.8 min before
-384.0,6.4 min before
-376.8,6.3 min before
-373.7,6.2 min before
-332.3,5.5 min before
-252.0,4.2 min before
-251.2,4.2 min before
-201.3,3.4 min before
-196.7,3.3 min before
-189.2,3.2 min before
-34790.0,9.7 hr before
-181.0,3 min before
-171.0,2.9 min before
-157.8,2.6 min before
-151.5,2.5 min before
-36861.0,10.2 hr before
-130.1,2.2 min before
-124.5,2.1 min before
-122.0,2 min before
-118.9,2 min before
146.2,2.4 min after
149.5,2.5 min after
167.7,2.8 min after
188.8,3.1 min after
275.7,4.6 min after
345.6,5.8 min after
-39286.0,10.9 hr before
-39570.0,11 hr before
444.4,7.4 min after
501.5,8.4 min after
504.0,8.4 min after
-40322.0,11.2 hr before
537.2,9 min after
649.6,10.8 min after
766.3,12.8 min after
779.9,13 min after
-42191.0,11.7 hr before
809.1,13.5 min after
851.6,14.2 min after
-42927.0,11.9 hr before
854.2,14.2 min after
863.7,14.4 min after
927.1,15.5 min after
979.1,16.3 min after
1327.1,22.1 min after
1355.9,22.6 min after
-45172.0,12.5 hr before
1395.4,23.3 min after
1507.6,25.1 min after
1520.6,25.3 min after
1530.6,25.5 min after
2066.9,34.4 min after
2191.6,36.5 min after
2467.1,41.1 min after
2937.1,49 min after
2980.4,49.7 min after
-47591.0,13.2 hr before
3009.6,50.2 min after
3088.7,51.5 min after
3466.4,57.8 min after
3894.7,1.1 hr after
-50595.0,14.1 hr before
4372.7,1.2 hr after
-50908.0,14.1 hr before
-51026.0,14.2 hr before
5312.2,1.5 hr after
