event_diff_sec,formatted_time_diff
-2855.8,47.6 min before
-711562.1,1.2 week before
-711093.8,1.2 week before
-708162.9,1.2 week before
-706851.6,1.2 week before
-703836.4,1.2 week before
-703710.6,1.2 week before
-703589.9,1.2 week before
-703110.5,1.2 week before
-700500.5,1.2 week before
-699703.7,1.2 week before
-359878.0,4.2 day before
-362550.0,4.2 day before
-696049.1,1.2 week before
-695674.2,1.2 week before
-695159.8,1.1 week before
-694798.2,1.1 week before
-694239.3,1.1 week before
-694009.7,1.1 week before
-692860.3,1.1 week before
-690798.0,1.1 week before
-690702.8,1.1 week before
-690324.5,1.1 week before
-689822.2,1.1 week before
-688903.3,1.1 week before
-688343.9,1.1 week before
-688289.9,1.1 week before
-687950.9,1.1 week before
-687178.8,1.1 week before
-685254.2,1.1 week before
-389843.0,4.5 day before
-156229.6,1.8 day before
-684609.3,1.1 week before
-682844.5,1.1 week before
-681956.7,1.1 week before
-150843.4,1.7 day before
-675384.2,1.1 week before
-672354.6,1.1 week before
-428230.0,5 day before
-29741.5,8.3 hr before
61562.7,17.1 hr after
-29741.5,8.3 hr before
-671498.7,1.1 week before
-33393.1,9.3 hr before
-150544.4,1.7 day before
-466383.6,5.4 day before
-47493.1,13.2 hr before
-48429.6,13.5 hr before
-52799.1,14.7 hr before
-64188.8,17.8 hr before
-56786.6,15.8 hr before
-57894.1,16.1 hr before
-61551.5,17.1 hr before
-65177.1,18.1 hr before
-68560.4,19 hr before
-206293.2,2.4 day before
-145466.1,1.7 day before
-664607.9,1.1 week before
92070.2,1.1 day after
104604.6,1.2 day after
-662453.1,1.1 week before
-144988.7,1.7 day before
-440141.6,5.1 day before
-141454.3,1.6 day before
-393938.0,4.6 day before
-658151.3,1.1 week before
-64192.6,17.8 hr before
-656434.7,1.1 week before
-139884.4,1.6 day before
-654798.2,1.1 week before
255091.6,3 day after
66122.6,18.4 hr after
-341674.9,4 day before
-67460.6,18.7 hr before
-136295.9,1.6 day before
-131637.5,1.5 day before
-653012.8,1.1 week before
-2.5,2.5 sec before
-129459.9,1.5 day before
-647871.5,1.1 week before
-126187.7,1.5 day before
302047.9,3.5 day after
-259262.2,3 day before
-70403.4,19.6 hr before
-124395.8,1.4 day before
-123266.8,1.4 day before
-167687.6,1.9 day before
-122891.1,1.4 day before
-120181.3,1.4 day before
-115726.5,1.3 day before
115887.7,1.3 day after
-113375.3,1.3 day before
-623243.7,1 week before
-627214.9,1 week before
-626369.6,1 week before
-625124.8,1 week before
-111904.8,1.3 day before
-614061.4,1 week before
-422154.0,4.9 day before
-109808.8,1.3 day before
-108985.0,1.3 day before
-108219.6,1.3 day before
-106877.4,1.2 day before
-611204.8,1 week before
-106720.5,1.2 day before
-608298.5,1 week before
-106165.2,1.2 day before
-105994.1,1.2 day before
-104990.9,1.2 day before
-104610.8,1.2 day before
-104084.8,1.2 day before
-100002.5,1.2 day before
-99955.8,1.2 day before
-602483.3,7 day before
-97528.6,1.1 day before
-125506.6,1.5 day before
-440947.0,5.1 day before
-600508.6,7 day before
-95042.7,1.1 day before
-599777.7,6.9 day before
-599649.2,6.9 day before
-450127.0,5.2 day before
-94702.3,1.1 day before
-94278.3,1.1 day before
-94188.7,1.1 day before
-92642.4,1.1 day before
-88854.7,1 day before
-86219.0,23.9 hr before
-85982.3,23.9 hr before
-21943.3,6.1 hr before
-466572.0,5.4 day before
-85428.6,23.7 hr before
-85326.7,23.7 hr before
-84495.3,23.5 hr before
-83907.5,23.3 hr before
-83438.2,23.2 hr before
-83260.8,23.1 hr before
-471729.0,5.5 day before
-589367.1,6.8 day before
-81593.7,22.7 hr before
-79828.2,22.2 hr before
-581775.1,6.7 day before
-79760.3,22.2 hr before
-578873.0,6.7 day before
-487404.0,5.6 day before
-572688.2,6.6 day before
-79230.2,22 hr before
-570459.7,6.6 day before
-491668.3,5.7 day before
-77512.4,21.5 hr before
-77339.0,21.5 hr before
-506770.0,5.9 day before
-77027.8,21.4 hr before
185493.0,2.1 day after
-77404.8,21.5 hr before
-566979.2,6.6 day before
-747931.0,1.2 week before
304413.8,3.5 day after
5830.3,1.6 hr after
-75535.7,21 hr before
-74590.0,20.7 hr before
-72165.6,20 hr before
413521.4,4.8 day after
78332.5,21.8 hr after
14961.0,4.2 hr after
-70537.3,19.6 hr before
-75876.3,21.1 hr before
-564968.8,6.5 day before
-71675.5,19.9 hr before
-71507.0,19.9 hr before
-79874.4,22.2 hr before
64321.8,17.9 hr after
70888.4,19.7 hr after
-69334.6,19.3 hr before
-561912.1,6.5 day before
-81466.7,22.6 hr before
79870.3,22.2 hr after
-85259.5,23.7 hr before
-533007.3,6.2 day before
-69278.8,19.2 hr before
-129385.0,1.5 day before
-69278.8,19.2 hr before
-559686.2,6.5 day before
-558857.6,6.5 day before
-69276.1,19.2 hr before
-88276.1,1 day before
-88169.2,1 day before
-68682.6,19.1 hr before
-88276.1,1 day before
-530378.8,6.1 day before
-555845.5,6.4 day before
230161.7,2.7 day after
-68019.3,18.9 hr before
-553123.0,6.4 day before
-88276.1,1 day before
-88276.1,1 day before
-66695.9,18.5 hr before
-64441.1,17.9 hr before
-64218.4,17.8 hr before
349233.7,4 day after
-63100.5,17.5 hr before
-548514.3,6.3 day before
-62471.3,17.4 hr before
-88648.7,1 day before
-548065.7,6.3 day before
-544830.8,6.3 day before
-60972.5,16.9 hr before
-43293.6,12 hr before
-41642.2,11.6 hr before
-41642.2,11.6 hr before
-41476.5,11.5 hr before
-36537.2,10.1 hr before
-29497.9,8.2 hr before
-25888.3,7.2 hr before
-509683.0,5.9 day before
-512446.3,5.9 day before
-22533.1,6.3 hr before
-527845.3,6.1 day before
-517457.0,6 day before
-3400.1,56.7 min before
-1977.3,33 min before
-1977.3,33 min before
-520932.4,6 day before
-245333.1,2.8 day before
-524447.0,6.1 day before
-243157.8,2.8 day before
-234528.0,2.7 day before
-526675.0,6.1 day before
-233894.0,2.7 day before
-230699.5,2.7 day before
-529983.0,6.1 day before
-211562.0,2.4 day before
-229378.5,2.7 day before
-532556.0,6.2 day before
-117797.8,1.4 day before
-511875.0,5.9 day before
-534590.0,6.2 day before
-511569.6,5.9 day before
-510649.8,5.9 day before
-227901.4,2.6 day before
-506935.5,5.9 day before
-221834.9,2.6 day before
-215334.7,2.5 day before
-503489.9,5.8 day before
-214490.5,2.5 day before
-551495.0,6.4 day before
-501198.4,5.8 day before
-551759.0,6.4 day before
-214266.2,2.5 day before
-212869.2,2.5 day before
-555251.0,6.4 day before
-212719.2,2.5 day before
-207372.1,2.4 day before
-207197.5,2.4 day before
-489381.7,5.7 day before
-489205.8,5.7 day before
-489205.8,5.7 day before
-489102.8,5.7 day before
-200494.2,2.3 day before
-198620.9,2.3 day before
-193781.1,2.2 day before
-190398.4,2.2 day before
-577061.0,6.7 day before
-481867.6,5.6 day before
-581738.0,6.7 day before
-190336.8,2.2 day before
-189655.5,2.2 day before
-88648.7,1 day before
-478714.0,5.5 day before
-188283.9,2.2 day before
-496437.7,5.7 day before
-102438.2,1.2 day before
-88983.2,1 day before
-104102.4,1.2 day before
-90628.8,1 day before
-104444.8,1.2 day before
-92472.7,1.1 day before
-474535.0,5.5 day before
-187858.4,2.2 day before
22914.2,6.4 hr after
43318.1,12 hr after
48428.3,13.5 hr after
70888.4,19.7 hr after
77166.4,21.4 hr after
137809.6,1.6 day after
-186744.8,2.2 day before
-108193.2,1.3 day before
435863.6,5 day after
-103738.5,1.2 day before
-185361.1,2.1 day before
-106537.9,1.2 day before
-471470.9,5.5 day before
-177370.0,2.1 day before
-111072.9,1.3 day before
-183839.8,2.1 day before
-180060.2,2.1 day before
-178836.5,2.1 day before
-178551.7,2.1 day before
-176316.1,2 day before
-175883.5,2 day before
-466282.8,5.4 day before
-174796.4,2 day before
-173435.6,2 day before
-171969.4,2 day before
-171241.1,2 day before
-168986.4,2 day before
433228.4,5 day after
-107150.0,1.2 day before
-167547.8,1.9 day before
-165581.6,1.9 day before
-162417.7,1.9 day before
-161229.4,1.9 day before
-158331.2,1.8 day before
-158106.0,1.8 day before
-157064.7,1.8 day before
-2855.8,47.6 min before
-444912.7,5.1 day before
-156648.5,1.8 day before
-442133.7,5.1 day before
-156386.6,1.8 day before
-440799.3,5.1 day before
-153067.9,1.8 day before
-147842.5,1.7 day before
-145081.0,1.7 day before
-144206.7,1.7 day before
-143203.4,1.7 day before
-437235.0,5.1 day before
-108032.9,1.3 day before
-96170.9,1.1 day before
-91155.7,1.1 day before
-91024.5,1.1 day before
-89897.4,1 day before
-74555.7,20.7 hr before
-69623.7,19.3 hr before
-62047.6,17.2 hr before
-55213.3,15.3 hr before
-37068.6,10.3 hr before
-427923.9,5 day before
-26296.5,7.3 hr before
-18562.4,5.2 hr before
-604528.0,7 day before
-384.8,6.4 min before
-422085.0,4.9 day before
-607464.0,1 week before
-422001.7,4.9 day before
-421628.1,4.9 day before
-326704.4,3.8 day before
-325929.8,3.8 day before
-325929.8,3.8 day before
-618592.0,1 week before
-320881.4,3.7 day before
-624970.0,1 week before
-318735.2,3.7 day before
-310627.5,3.6 day before
-307869.1,3.6 day before
-305813.7,3.5 day before
-418689.3,4.8 day before
-303670.7,3.5 day before
-413090.5,4.8 day before
-302572.0,3.5 day before
-651019.0,1.1 week before
-411765.3,4.8 day before
-296630.1,3.4 day before
-294315.7,3.4 day before
-294002.3,3.4 day before
-291500.3,3.4 day before
-404298.3,4.7 day before
-667421.0,1.1 week before
-289212.1,3.3 day before
-674537.0,1.1 week before
-282961.2,3.3 day before
-278464.8,3.2 day before
-686562.0,1.1 week before
31355.5,8.7 hr after
52975.3,14.7 hr after
-394127.1,4.6 day before
-277121.9,3.2 day before
60620.3,16.8 hr after
26886.9,7.5 hr after
-273192.6,3.2 day before
115789.6,1.3 day after
46589.3,12.9 hr after
-271377.4,3.1 day before
-119698.0,1.4 day before
80278.5,22.3 hr after
152771.3,1.8 day after
96975.6,1.1 day after
-269246.6,3.1 day before
121610.0,1.4 day after
-269105.4,3.1 day before
165203.2,1.9 day after
-129688.6,1.5 day before
-264277.7,3.1 day before
-263837.5,3.1 day before
-263638.1,3.1 day before
-263366.1,3 day before
-263239.1,3 day before
426838.9,4.9 day after
-255041.3,3 day before
-383372.9,4.4 day before
-252975.7,2.9 day before
-252477.1,2.9 day before
-378462.4,4.4 day before
-377647.4,4.4 day before
-250353.6,2.9 day before
-250270.4,2.9 day before
-249961.3,2.9 day before
-249582.0,2.9 day before
-371687.1,4.3 day before
-249362.1,2.9 day before
-249282.5,2.9 day before
-367335.8,4.3 day before
-246927.4,2.9 day before
-245722.8,2.8 day before
-243604.8,2.8 day before
-237841.7,2.8 day before
-235878.6,2.7 day before
-680605.0,1.1 week before
-361372.9,4.2 day before
-686000.0,1.1 week before
-235092.7,2.7 day before
-231183.6,2.7 day before
-230242.4,2.7 day before
-353746.8,4.1 day before
-218953.5,2.5 day before
-352054.6,4.1 day before
-197841.5,2.3 day before
-111770.1,1.3 day before
-107503.5,1.2 day before
-350382.5,4.1 day before
-698124.0,1.2 week before
-107350.3,1.2 day before
-86636.1,1 day before
-77036.5,21.4 hr before
-67180.0,18.7 hr before
-42584.7,11.8 hr before
-347446.4,4 day before
-710668.0,1.2 week before
-17468.7,4.9 hr before
-551.6,9.2 min before
-419210.9,4.9 day before
-411380.1,4.8 day before
-402061.2,4.7 day before
-400585.1,4.6 day before
-721253.0,1.2 week before
-394262.6,4.6 day before
-393963.6,4.6 day before
-389885.4,4.5 day before
-387025.8,4.5 day before
-730989.0,1.2 week before
-386760.3,4.5 day before
-386357.3,4.5 day before
-332853.1,3.9 day before
-385447.6,4.5 day before
-384727.8,4.5 day before
-136516.8,1.6 day before
-384669.7,4.5 day before
-32139.9,8.9 hr before
-140165.0,1.6 day before
26649.9,7.4 hr after
67714.2,18.8 hr after
73403.8,20.4 hr after
74459.3,20.7 hr after
-384434.1,4.4 day before
-383165.9,4.4 day before
83569.7,23.2 hr after
132438.0,1.5 day after
-378622.6,4.4 day before
207586.0,2.4 day after
188375.5,2.2 day after
-131881.8,1.5 day before
-376311.1,4.4 day before
261072.8,3 day after
264271.3,3.1 day after
-374290.8,4.3 day before
-372061.9,4.3 day before
-368935.0,4.3 day before
-367568.6,4.3 day before
-367281.4,4.3 day before
-363868.0,4.2 day before
-363196.7,4.2 day before
-355913.2,4.1 day before
-355669.4,4.1 day before
-354936.1,4.1 day before
-353713.4,4.1 day before
-351475.4,4.1 day before
-350879.1,4.1 day before
-350382.5,4.1 day before
-350159.4,4.1 day before
-349159.1,4 day before
-348000.0,4 day before
-298517.5,3.5 day before
-347674.6,4 day before
-347556.8,4 day before
-346707.6,4 day before
-343481.3,4 day before
-339982.8,3.9 day before
-338467.5,3.9 day before
-338418.1,3.9 day before
-337104.5,3.9 day before
-336518.9,3.9 day before
-335546.9,3.9 day before
-334897.8,3.9 day before
-332962.6,3.9 day before
-332319.6,3.8 day before
-281472.3,3.3 day before
-775883.0,1.3 week before
-329756.0,3.8 day before
-328302.1,3.8 day before
-786419.0,1.3 week before
-326361.4,3.8 day before
-277383.7,3.2 day before
-802624.0,1.3 week before
-809079.0,1.3 week before
-326358.8,3.8 day before
-326149.0,3.8 day before
-325509.3,3.8 day before
-273004.7,3.2 day before
-323975.2,3.7 day before
-317067.0,3.7 day before
-827556.0,1.4 week before
-269310.4,3.1 day before
-309624.3,3.6 day before
-300533.0,3.5 day before
-144013.1,1.7 day before
-153630.6,1.8 day before
-164810.5,1.9 day before
-168404.2,1.9 day before
-264551.0,3.1 day before
-169024.8,2 day before
-280544.5,3.2 day before
-276670.8,3.2 day before
-172638.5,2 day before
-186086.3,2.2 day before
-256962.1,3 day before
-204114.2,2.4 day before
-192476.5,2.2 day before
-126349.5,1.5 day before
-102014.5,1.2 day before
-188154.2,2.2 day before
-188762.1,2.2 day before
-19433.7,5.4 hr before
-268124.4,3.1 day before
-502611.8,5.8 day before
224225.5,2.6 day after
-493554.6,5.7 day before
-252975.7,2.9 day before
-491396.7,5.7 day before
-252469.6,2.9 day before
-250543.8,2.9 day before
-487488.6,5.6 day before
-487473.1,5.6 day before
-484939.4,5.6 day before
-481363.3,5.6 day before
-667004.6,1.1 week before
-480620.6,5.6 day before
-476685.2,5.5 day before
-247514.3,2.9 day before
-472903.9,5.5 day before
-472592.1,5.5 day before
-471470.9,5.5 day before
-470734.0,5.4 day before
-470197.4,5.4 day before
-468783.0,5.4 day before
-241975.8,2.8 day before
-468758.9,5.4 day before
-468472.6,5.4 day before
-465744.1,5.4 day before
-464096.6,5.4 day before
-457525.1,5.3 day before
-455332.0,5.3 day before
-455112.9,5.3 day before
-454230.8,5.3 day before
-451289.8,5.2 day before
-448972.4,5.2 day before
-227653.9,2.6 day before
-444912.7,5.1 day before
-444546.1,5.1 day before
-441823.3,5.1 day before
-216615.7,2.5 day before
-878541.0,1.5 week before
-4.7,4.7 sec before
-438758.0,5.1 day before
-438463.3,5.1 day before
-884604.0,1.5 week before
-437969.5,5.1 day before
-437268.2,5.1 day before
-436753.2,5.1 day before
-436538.1,5.1 day before
-211085.6,2.4 day before
-901900.0,1.5 week before
-436338.0,5.1 day before
-436008.8,5 day before
-207197.5,2.4 day before
-435268.4,5 day before
-434913.4,5 day before
-434267.7,5 day before
-433213.6,5 day before
-429757.7,5 day before
-429442.3,5 day before
-427570.8,4.9 day before
-190671.4,2.2 day before
-423300.1,4.9 day before
-421609.2,4.9 day before
-188762.1,2.2 day before
-195441.8,2.3 day before
-203843.8,2.4 day before
-207053.0,2.4 day before
-217819.2,2.5 day before
-246050.0,2.8 day before
-254272.6,2.9 day before
-267233.6,3.1 day before
31460.3,8.7 hr after
-267912.3,3.1 day before
-420056.2,4.9 day before
85825.4,23.8 hr after
-420046.8,4.9 day before
12541.9,3.5 hr after
-419914.8,4.9 day before
-419781.2,4.9 day before
-419604.5,4.9 day before
-412877.8,4.8 day before
-409152.4,4.7 day before
262833.3,3 day after
-406912.9,4.7 day before
-182358.3,2.1 day before
-386035.2,4.5 day before
-364154.4,4.2 day before
-178692.5,2.1 day before
-178565.2,2.1 day before
-296630.1,3.4 day before
-296630.1,3.4 day before
-296630.1,3.4 day before
-175274.9,2 day before
-290703.8,3.4 day before
-282486.3,3.3 day before
-172576.2,2 day before
-271887.4,3.1 day before
-222642.4,2.6 day before
-168596.3,2 day before
-149690.4,1.7 day before
-116133.5,1.3 day before
-168404.2,1.9 day before
213463.4,2.5 day after
-105666.5,1.2 day before
-97964.0,1.1 day before
-592691.2,6.9 day before
-930509.0,1.5 week before
-590082.2,6.8 day before
-581219.8,6.7 day before
-571613.0,6.6 day before
-569979.0,6.6 day before
-952062.0,1.6 week before
-569153.9,6.6 day before
-565789.4,6.5 day before
-565252.7,6.5 day before
-954734.0,1.6 week before
-954752.0,1.6 week before
-565246.5,6.5 day before
-564048.6,6.5 day before
-563080.4,6.5 day before
-561679.4,6.5 day before
-557819.2,6.5 day before
-981148.0,1.6 week before
-987284.0,1.6 week before
-149252.0,1.7 day before
-557693.2,6.5 day before
-554584.9,6.4 day before
-552431.2,6.4 day before
-551564.3,6.4 day before
-550157.4,6.4 day before
-548274.4,6.3 day before
-544602.8,6.3 day before
-141203.4,1.6 day before
-542950.8,6.3 day before
-5803.2,1.6 hr before
-2378.2,39.6 min before
-542814.3,6.3 day before
-2230.1,37.2 min before
-541032.9,6.3 day before
-540261.1,6.3 day before
-279900.3,3.2 day before
21077.5,5.9 hr after
-537723.5,6.2 day before
-533374.7,6.2 day before
-530824.2,6.1 day before
-529715.6,6.1 day before
-124040.6,1.4 day before
-525999.3,6.1 day before
-525093.1,6.1 day before
-122168.6,1.4 day before
-121900.5,1.4 day before
-522511.2,6 day before
-520675.7,6 day before
-520286.4,6 day before
-520170.5,6 day before
-519065.4,6 day before
-516210.8,6 day before
-514260.4,6 day before
-509386.8,5.9 day before
-506825.1,5.9 day before
-503968.5,5.8 day before
-108179.6,1.3 day before
-495184.0,5.7 day before
-494122.6,5.7 day before
-448491.0,5.2 day before
-439890.5,5.1 day before
-426812.2,4.9 day before
-419914.8,4.9 day before
-417858.8,4.8 day before
-406423.3,4.7 day before
-376311.1,4.4 day before
-364716.8,4.2 day before
-345791.1,4 day before
-103082.7,1.2 day before
-339184.2,3.9 day before
-1006156.0,1.7 week before
-101097.8,1.2 day before
-243473.0,2.8 day before
-211610.2,2.4 day before
-185181.8,2.1 day before
-183960.9,2.1 day before
-152697.5,1.8 day before
-95362.4,1.1 day before
-125682.4,1.5 day before
-83504.5,23.2 hr before
-79722.9,22.1 hr before
-55701.2,15.5 hr before
-12668.7,3.5 hr before
-8074.7,2.2 hr before
-1732.9,28.9 min before
-685234.8,1.1 week before
-89742.0,1 day before
-1045912.0,1.7 week before
-681949.3,1.1 week before
-1048257.0,1.7 week before
-671030.8,1.1 week before
-86542.0,1 day before
-1066465.0,1.8 week before
-86542.0,1 day before
-665022.8,1.1 week before
-661722.3,1.1 week before
-658614.7,1.1 week before
-654798.2,1.1 week before
-84888.0,23.6 hr before
-654391.2,1.1 week before
-335929.1,3.9 day before
-338550.9,3.9 day before
-6023.3,1.7 hr before
-653303.7,1.1 week before
-648988.4,1.1 week before
-646898.6,1.1 week before
-642913.8,1.1 week before
-642687.5,1.1 week before
-80084.1,22.2 hr before
-638889.7,1.1 week before
-636513.0,1.1 week before
-636107.8,1.1 week before
-634736.0,1 week before
-620908.2,1 week before
-614015.2,1 week before
-612436.2,1 week before
-611490.7,1 week before
-611204.8,1 week before
-610335.4,1 week before
-606919.6,1 week before
-605767.9,1 week before
-604318.8,7 day before
-604243.1,7 day before
-603693.4,7 day before
-603352.3,7 day before
-603225.6,7 day before
-600786.6,7 day before
-600289.8,6.9 day before
-599395.5,6.9 day before
-599089.4,6.9 day before
-598166.3,6.9 day before
-596784.9,6.9 day before
-595490.3,6.9 day before
-594890.8,6.9 day before
-593503.0,6.9 day before
-592546.7,6.9 day before
-591501.4,6.8 day before
-591363.1,6.8 day before
-590791.9,6.8 day before
-586594.9,6.8 day before
-584000.6,6.8 day before
-51010.2,14.2 hr before
-48292.3,13.4 hr before
-569826.1,6.6 day before
-564660.1,6.5 day before
-561200.5,6.5 day before
-548648.4,6.4 day before
-1122555.0,1.9 week before
-492622.4,5.7 day before
-38291.0,10.6 hr before
-37226.6,10.3 hr before
-484939.4,5.6 day before
-1127424.0,1.9 week before
-469701.9,5.4 day before
-29973.6,8.3 hr before
-451713.0,5.2 day before
-448491.0,5.2 day before
-385625.6,4.5 day before
-1133499.0,1.9 week before
-318086.3,3.7 day before
-19814.3,5.5 hr before
-311186.8,3.6 day before
-1144131.0,1.9 week before
-299884.1,3.5 day before
-286825.9,3.3 day before
-13902.7,3.9 hr before
-283511.8,3.3 day before
-1156850.0,1.9 week before
-8851.5,2.5 hr before
-8851.5,2.5 hr before
-278969.3,3.2 day before
-6849.9,1.9 hr before
-3710.0,1 hr before
-260754.0,3 day before
-256102.5,3 day before
-200401.3,2.3 day before
646.4,10.8 min after
-170002.2,2 day before
-1625.2,27.1 min before
-117782.5,1.4 day before
-77330.8,21.5 hr before
1512.8,25.2 min after
-972.5,16.2 min before
-731.1,12.2 min before
-731.1,12.2 min before
-972.5,16.2 min before
-972.5,16.2 min before
-340.3,5.7 min before
233.0,3.9 min after
-90611.1,1 day before
1072.5,17.9 min after
1260.5,21 min after
1997.4,33.3 min after
3415.6,56.9 min after
6043.3,1.7 hr after
6662.0,1.9 hr after
7341.5,2 hr after
13380.2,3.7 hr after
13516.4,3.8 hr after
16112.3,4.5 hr after
21679.2,6 hr after
22343.2,6.2 hr after
24371.6,6.8 hr after
28254.6,7.8 hr after
30755.9,8.5 hr after
30828.6,8.6 hr after
33836.8,9.4 hr after
35246.9,9.8 hr after
38148.5,10.6 hr after
38216.6,10.6 hr after
38570.1,10.7 hr after
39290.8,10.9 hr after
39608.2,11 hr after
40000.6,11.1 hr after
43287.3,12 hr after
46645.1,13 hr after
52260.0,14.5 hr after
-1175397.9,1.9 week before
55807.0,15.5 hr after
61519.0,17.1 hr after
65844.9,18.3 hr after
66194.4,18.4 hr after
78460.7,21.8 hr after
80969.8,22.5 hr after
84852.6,23.6 hr after
97964.9,1.1 day after
113325.6,1.3 day after
113404.8,1.3 day after
117078.9,1.4 day after
145720.8,1.7 day after
160903.8,1.9 day after
170566.6,2 day after
-1210703.0,2 week before
174271.1,2 day after
182794.3,2.1 day after
197614.1,2.3 day after
203080.1,2.4 day after
203080.1,2.4 day after
-1218474.0,2 week before
221277.0,2.6 day after
-1219991.0,2 week before
231630.9,2.7 day after
-1221696.0,2 week before
-1223777.0,2 week before
247109.1,2.9 day after
-1232436.0,2 week before
258608.7,3 day after
289367.9,3.3 day after
321400.7,3.7 day after
334863.7,3.9 day after
396358.2,4.6 day after
429495.9,5 day after
440126.4,5.1 day after
442132.1,5.1 day after
445800.4,5.2 day after
477570.2,5.5 day after
487457.3,5.6 day after
495730.9,5.7 day after
527513.1,6.1 day after
564722.5,6.5 day after
-1274688.0,2.1 week before
-1276081.0,2.1 week before
