client_event_time,client_order_time,EVENT_CLASSIFICATION,CONVERSION_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,DAYS_TO_ATTRIBUTION,BILLABLE_AMOUNT,event_distance,order_distance,avg_distance,cadenlane_order_number,cadenlane_northbeam_platform,cadenlane_source,cadenlane_order_time,cadenlane_event_time,cadenlane_attribution_days
2024-01-18 20:40:46.192000+00:00,2024-01-21 20:02:02+00:00,display,cross-sell,returning,direct_email_match,3,20.0,11793.67,26.0,5909.835,2379728,Klaviyo,utm medium - email,2024-01-21 20:02:28+00:00,2024-01-18 17:24:12.522000+00:00,3
2023-12-28 23:59:53.830000+00:00,2024-01-03 07:01:35+00:00,display,cross-sell,new,order_mapping_hash,6,32.0,25357.442,8522.0,16939.720999999998,2340934,Klaviyo,utm medium - email,2024-01-03 04:39:33+00:00,2023-12-28 16:57:16.388000+00:00,5
2023-12-29 05:33:09.689000+00:00,2024-01-03 15:37:42+00:00,display,cross-sell,new,order_mapping_hash,5,32.0,923.617,10799.0,5861.3085,2341886,Organic,direct,2024-01-03 18:37:41+00:00,2023-12-29 05:48:33.306000+00:00,5
2023-12-29 07:21:48.780000+00:00,2024-01-02 18:18:52+00:00,display,cross-sell,new,consumer_hash,4,32.0,3381.468,2951.0,3166.234,2339833,MNTN,mntn,2024-01-02 19:08:03+00:00,2023-12-29 08:18:10.248000+00:00,4
2024-01-03 13:10:59.383000+00:00,2024-01-04 02:31:15+00:00,display,cross-sell,returning,order_mapping_hash,1,20.0,4082.201,287.0,2184.6005,2342898,MNTN,mntn,2024-01-04 02:26:28+00:00,2024-01-03 14:19:01.584000+00:00,0
2024-01-19 17:57:03.373000+00:00,2024-01-19 18:04:20+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,11.373,448.0,229.6865,2374651,Unattributed,unattributed,2024-01-19 17:56:52+00:00,2024-01-19 17:56:52+00:00,0
2024-01-19 18:23:00.457000+00:00,2024-01-19 20:22:50+00:00,display,cross-sell,returning,device_identifier_hash,0,20.0,1769.904,1918.0,1843.952,2374921,Organic,direct,2024-01-19 19:50:52+00:00,2024-01-19 18:52:30.361000+00:00,0
2023-12-29 16:13:02.358000+00:00,2024-01-03 04:39:05+00:00,display,cross-sell,returning,direct_email_match,5,20.0,10447.28,17526.0,13986.64,2340365,Klaviyo,utm medium - email,2024-01-02 23:46:59+00:00,2023-12-29 13:18:55.078000+00:00,4
2023-12-29 16:13:02.358000+00:00,2024-01-03 17:27:40+00:00,display,cross-sell,returning,consumer_hash,5,20.0,2200.014,651.0,1425.507,2341721,Facebook Ads,fb,2024-01-03 17:38:31+00:00,2023-12-29 15:36:22.344000+00:00,5
2023-12-29 16:13:41.425000+00:00,2024-01-01 19:24:15+00:00,display,cross-sell,returning,consumer_hash,3,20.0,4096.272,1990.0,3043.136,2337401,Organic,direct,2024-01-01 18:51:05+00:00,2023-12-29 15:05:25.153000+00:00,3
2023-12-29 16:23:58.312000+00:00,2024-01-02 14:58:24+00:00,display,cross-sell,new,consumer_hash,4,32.0,11739.687,2575.0,7157.3435,2339369,Klaviyo,utm medium - email,2024-01-02 15:41:19+00:00,2023-12-29 13:08:18.625000+00:00,4
2023-12-29 16:51:06.927000+00:00,2024-01-05 02:14:26+00:00,display,cross-sell,returning,consumer_hash,7,20.0,7603.212,903.0,4253.106,2345229,Organic,direct,2024-01-05 02:29:29+00:00,2023-12-29 18:57:50.139000+00:00,6
2023-12-29 16:56:32.286000+00:00,2024-01-01 04:05:32+00:00,display,cross-sell,returning,order_mapping_hash,3,20.0,7277.853,1586.0,4431.9265,2336170,Organic,direct,2024-01-01 03:39:06+00:00,2023-12-29 18:57:50.139000+00:00,2
2023-12-29 16:57:50.954000+00:00,2024-01-04 02:54:46+00:00,display,cross-sell,returning,consumer_hash,6,20.0,5541.455,1698.0,3619.7275,2342898,MNTN,mntn,2024-01-04 02:26:28+00:00,2023-12-29 15:25:29.499000+00:00,5
2024-01-20 00:10:05.458000+00:00,2024-01-20 18:23:21+00:00,display,cross-sell,lapsed,direct_email_match,0,32.0,14376.5,2472.0,8424.25,2377235,Organic,direct,2024-01-20 19:04:33+00:00,2024-01-20 04:09:41.958000+00:00,0
2024-01-20 16:32:32.124000+00:00,2024-01-26 01:33:37+00:00,display,cross-sell,returning,direct_email_match,6,20.0,813.867,2990.0,1901.9335,2388574,Facebook Ads,fb,2024-01-26 02:23:27+00:00,2024-01-20 16:18:58.257000+00:00,5
2024-01-20 16:33:42.661000+00:00,2024-01-22 16:05:32+00:00,display,cross-sell,new,direct_email_match,2,32.0,5573.264,10247.0,7910.132,2381978,Facebook Ads,fb,2024-01-22 18:56:19+00:00,2024-01-20 18:06:35.925000+00:00,2
