order_number,northbeam_platform,source,order_time,event_time,attribution_days,total_tp,tp_seq
2387181,Unattributed,unattributed,2024-01-25 14:16:40+00:00,2024-01-25 14:16:40+00:00,0,5,5
2387308,Google Ads,adwords,2024-01-25 15:10:05+00:00,2024-01-25 14:56:43.771000+00:00,0,2,1
2387308,Unattributed,unattributed,2024-01-25 15:10:05+00:00,2024-01-25 15:10:05+00:00,0,2,2
2387310,Google Ads,adwords,2024-01-25 15:11:23+00:00,2024-01-25 01:45:54.046000+00:00,0,2,1
2387310,Unattributed,unattributed,2024-01-25 15:11:23+00:00,2024-01-25 15:11:23+00:00,0,2,2
2387318,Organic Search,referral,2024-01-25 15:13:29+00:00,2024-01-25 15:11:20.975000+00:00,0,2,1
2387318,Unattributed,unattributed,2024-01-25 15:13:29+00:00,2024-01-25 15:13:29+00:00,0,2,2
2387331,Klaviyo,utm medium - email,2024-01-25 15:20:46+00:00,2024-01-25 11:27:53.703000+00:00,0,3,1
2387331,Klaviyo,utm medium - email,2024-01-25 15:20:46+00:00,2024-01-25 11:28:22.322000+00:00,0,3,2
2387331,Unattributed,unattributed,2024-01-25 15:20:46+00:00,2024-01-25 15:20:46+00:00,0,3,3
2387337,Unattributed,unattributed,2024-01-25 15:22:52+00:00,2024-01-25 15:22:52+00:00,0,1,1
2387338,Klaviyo,utm medium - email,2024-01-25 15:22:59+00:00,2024-01-13 03:55:10.749000+00:00,12,4,1
2387338,Klaviyo,utm medium - email,2024-01-25 15:22:59+00:00,2024-01-13 05:36:29.198000+00:00,12,4,2
2387338,Klaviyo,utm medium - email,2024-01-25 15:22:59+00:00,2024-01-25 14:43:03.418000+00:00,0,4,3
2387338,Unattributed,unattributed,2024-01-25 15:22:59+00:00,2024-01-25 15:22:59+00:00,0,4,4
2387341,Klaviyo,utm medium - email,2024-01-25 15:24:18+00:00,2024-01-12 02:02:33.906000+00:00,13,6,1
2387341,Klaviyo,utm medium - email,2024-01-25 15:24:18+00:00,2024-01-12 02:35:54.653000+00:00,13,6,2
2387341,Google Ads,adwords,2024-01-25 15:24:18+00:00,2024-01-15 15:50:42.295000+00:00,9,6,3
2387341,Klaviyo,utm medium - email,2024-01-25 15:24:18+00:00,2024-01-20 13:34:23.059000+00:00,5,6,4
2387341,Klaviyo,utm medium - email,2024-01-25 15:24:18+00:00,2024-01-25 02:04:21.470000+00:00,0,6,5
2387341,Unattributed,unattributed,2024-01-25 15:24:18+00:00,2024-01-25 15:24:18+00:00,0,6,6
2387353,Unattributed,unattributed,2024-01-25 15:31:43+00:00,2024-01-25 15:31:43+00:00,0,1,1
2387356,Organic Search,referral,2024-01-25 15:32:51+00:00,2024-01-25 15:13:45.475000+00:00,0,2,1
2387356,Unattributed,unattributed,2024-01-25 15:32:51+00:00,2024-01-25 15:32:51+00:00,0,2,2
2387363,Unattributed,unattributed,2024-01-25 15:36:11+00:00,2024-01-25 15:36:11+00:00,0,1,1
2387395,Unattributed,unattributed,2024-01-25 15:51:16+00:00,2024-01-25 15:51:16+00:00,0,1,1
2387457,Unattributed,unattributed,2024-01-25 16:24:24+00:00,2024-01-25 16:24:24+00:00,0,1,1
2387459,Klaviyo,utm medium - email,2024-01-25 16:26:06+00:00,2024-01-25 16:20:10.126000+00:00,0,2,1
2387459,Unattributed,unattributed,2024-01-25 16:26:06+00:00,2024-01-25 16:26:06+00:00,0,2,2
2387676,Klaviyo,utm medium - email,2024-01-25 18:04:13+00:00,2024-01-25 12:58:43.467000+00:00,0,2,1
2387676,Unattributed,unattributed,2024-01-25 18:04:13+00:00,2024-01-25 18:04:13+00:00,0,2,2
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-13 21:03:38.415000+00:00,11,14,1
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-15 23:31:27.951000+00:00,9,14,2
2387719,Klaviyo,utm medium - email,2024-01-25 18:28:57+00:00,2024-01-17 14:07:31.219000+00:00,8,14,3
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-19 13:49:45.559000+00:00,6,14,4
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-19 16:42:47.704000+00:00,6,14,5
2387719,Klaviyo,utm medium - email,2024-01-25 18:28:57+00:00,2024-01-21 11:28:41.918000+00:00,4,14,6
2387719,Klaviyo,utm medium - email,2024-01-25 18:28:57+00:00,2024-01-21 11:29:53.485000+00:00,4,14,7
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-22 16:15:57.312000+00:00,3,14,8
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-22 21:57:32.197000+00:00,2,14,9
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-24 18:34:42.742000+00:00,0,14,10
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-25 18:09:36.712000+00:00,0,14,11
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-25 18:11:35.374000+00:00,0,14,12
2387719,Facebook Ads,fb,2024-01-25 18:28:57+00:00,2024-01-25 18:25:08.420000+00:00,0,14,13
2387719,Unattributed,unattributed,2024-01-25 18:28:57+00:00,2024-01-25 18:28:57+00:00,0,14,14
2387729,Unattributed,unattributed,2024-01-25 18:33:17+00:00,2024-01-25 18:33:17+00:00,0,1,1
2387783,Unattributed,unattributed,2024-01-25 18:56:47+00:00,2024-01-25 18:56:47+00:00,0,1,1
2387839,Unattributed,unattributed,2024-01-25 19:29:59+00:00,2024-01-25 19:29:59+00:00,0,1,1
2387846,Klaviyo,utm medium - email,2024-01-25 19:34:12+00:00,2024-01-25 19:27:46.842000+00:00,0,3,1
2387846,Google Ads,adwords,2024-01-25 19:34:12+00:00,2024-01-25 19:28:49.667000+00:00,0,3,2
2387846,Unattributed,unattributed,2024-01-25 19:34:12+00:00,2024-01-25 19:34:12+00:00,0,3,3
2387872,Klaviyo,utm medium - email,2024-01-25 19:45:20+00:00,2024-01-25 19:25:28.579000+00:00,0,2,1
2387872,Unattributed,unattributed,2024-01-25 19:45:20+00:00,2024-01-25 19:45:20+00:00,0,2,2
2387892,Google Ads,adwords,2024-01-25 19:53:56+00:00,2024-01-12 02:15:05.532000+00:00,13,4,1
2387892,Facebook Ads,fb,2024-01-25 19:53:56+00:00,2024-01-25 16:57:11.562000+00:00,0,4,2
2387892,Facebook Ads,fb,2024-01-25 19:53:56+00:00,2024-01-25 16:57:51.314000+00:00,0,4,3
2387892,Unattributed,unattributed,2024-01-25 19:53:56+00:00,2024-01-25 19:53:56+00:00,0,4,4
2387951,Unattributed,unattributed,2024-01-25 20:26:52+00:00,2024-01-25 20:26:52+00:00,0,1,1
2388014,Organic Search,referral,2024-01-25 21:03:16+00:00,2024-01-20 14:09:47.011000+00:00,5,2,1
2388014,Unattributed,unattributed,2024-01-25 21:03:16+00:00,2024-01-25 21:03:16+00:00,0,2,2
2388016,Unattributed,unattributed,2024-01-25 21:04:50+00:00,2024-01-25 21:04:50+00:00,0,1,1
2388017,Disco,utm medium - disco_paid,2024-01-25 21:05:52+00:00,2024-01-25 20:17:50.329000+00:00,0,2,1
2388017,Unattributed,unattributed,2024-01-25 21:05:52+00:00,2024-01-25 21:05:52+00:00,0,2,2
2388018,Google Ads,adwords,2024-01-25 21:06:19+00:00,2024-01-25 20:53:17.393000+00:00,0,2,1
2388018,Unattributed,unattributed,2024-01-25 21:06:19+00:00,2024-01-25 21:06:19+00:00,0,2,2
2388092,Facebook Ads,fb,2024-01-25 21:53:52+00:00,2024-01-11 20:23:43.825000+00:00,14,6,1
2388092,Facebook Ads,fb,2024-01-25 21:53:52+00:00,2024-01-14 23:54:07.853000+00:00,10,6,2
2388092,Facebook Ads,fb,2024-01-25 21:53:52+00:00,2024-01-24 01:48:03.543000+00:00,1,6,3
2388092,Google Ads,adwords,2024-01-25 21:53:52+00:00,2024-01-25 21:04:05.297000+00:00,0,6,4
2388092,Organic Search,referral,2024-01-25 21:53:52+00:00,2024-01-25 21:52:23.910000+00:00,0,6,5
