CL_ORDER_NUM,ORDER_DATE,DISPLAY_TIME,SOURCE_EVENT,TIME_DELTA_DAYS,SHOPIFY_ORDER_ID
2342315,2024-01-03T22:29:42Z,2024-01-03T22:27:15Z,CLICK,0,5157765021756
2391830,2024-01-27T17:09:10Z,2024-01-22T22:32:25Z,CLICK,5,5184773161020
2388017,2024-01-25T21:05:27Z,2024-01-25T20:17:43Z,CLICK,0,5183019581500
2378703,2024-01-21T07:41:13Z,2024-01-21T07:32:37Z,CLICK,0,5178359775292
2401301,2024-01-31T22:24:15Z,2024-01-31T22:23:43Z,CLICK,0,5189126750268
2400481,2024-01-31T15:54:07Z,2024-01-31T15:39:57Z,CLICK,0,5188764336188
2361079,2024-01-13T06:46:18Z,2024-01-13T06:35:09Z,CLICK,0,5170215551036
2352226,2024-01-08T15:43:33Z,2024-01-08T05:53:40Z,CLICK,0,5164175261756
2357250,2024-01-11T12:45:56Z,2024-01-11T12:37:11Z,CLICK,0,5168220700732
2345705,2024-01-05T13:33:44Z,2024-01-05T13:28:23Z,CLICK_BRAND,0,5159905099836
2399534,2024-01-31T00:51:44Z,2024-01-31T00:31:37Z,CLICK_BRAND,0,5188212129852
2353036,2024-01-08T23:43:43Z,2024-01-08T21:31:04Z,CLICK_BRAND,0,5164684050492
2337704,2024-01-01T21:01:40Z,2024-01-01T20:54:54Z,CLICK_BRAND,0,5155374661692
2388760,2024-01-26T04:01:26Z,2024-01-25T23:00:09Z,CLICK_BRAND,0,5183329730620
2361827,2024-01-13T17:03:45Z,2023-12-31T02:16:23Z,CLICK_BRAND,13,5170612535356
2336512,2024-01-01T09:55:32Z,2023-12-25T04:43:16Z,CLICK_BRAND,7,5155002449980
2399149,2024-01-30T21:06:57Z,2024-01-30T21:05:13Z,CLICK_BRAND,0,5188036919356
2387457,2024-01-25T16:24:24Z,2024-01-25T15:43:46Z,CLICK_BRAND,0,5182772838460
2389751,2024-01-26T18:12:03Z,2024-01-15T09:23:19Z,CLICK_BRAND,11,5183918080060
2388953,2024-01-26T12:11:20Z,2024-01-26T11:55:16Z,CLICK_BRAND,0,5183630639164
2396113,2024-01-29T13:35:48Z,2024-01-25T18:01:13Z,CLICK_BRAND,4,5186664005692
2362900,2024-01-13T23:44:22Z,2024-01-13T23:29:02Z,CLICK_BRAND,0,5170968592444
2348539,2024-01-06T19:53:50Z,2024-01-04T22:25:20Z,CLICK_BRAND,2,5161856925756
2342271,2024-01-03T21:59:01Z,2023-12-31T22:26:44Z,CLICK_BRAND,3,5157733138492
2376482,2024-01-20T15:14:32Z,2024-01-20T14:45:26Z,CLICK_BRAND,0,5177592021052
2354801,2024-01-09T23:00:24Z,2024-01-09T22:51:43Z,CLICK_BRAND,0,5166146125884
2370053,2024-01-17T04:13:32Z,2024-01-08T03:21:03Z,CLICK_BRAND,9,5174236839996
2351742,2024-01-08T03:44:39Z,2024-01-08T03:32:50Z,CLICK_BRAND,0,5163608703036
2370138,2024-01-17T05:34:11Z,2024-01-15T00:18:27Z,CLICK_BRAND,2,5174283731004
2338571,2024-01-02T02:24:09Z,2023-12-26T01:14:37Z,SERVER_EMAIL_DISPLAY,7,5155583918140
2341001,2024-01-03T06:00:19Z,2023-12-27T20:57:47Z,SERVER_EMAIL_DISPLAY,6,5156933238844
2364200,2024-01-14T16:58:33Z,2024-01-01T05:11:37Z,SERVER_EMAIL_DISPLAY,13,5171607928892
2351834,2024-01-08T04:43:49Z,2024-01-07T21:02:23Z,SERVER_EMAIL_DISPLAY,0,5163660181564
2336054,2024-01-01T02:45:32Z,2023-12-27T00:33:48Z,SERVER_EMAIL_DISPLAY,5,5154765340732
2351840,2024-01-08T04:49:53Z,2023-12-27T02:30:37Z,SERVER_EMAIL_DISPLAY,12,5163664146492
2366134,2024-01-15T15:01:43Z,2024-01-02T22:16:43Z,SERVER_EMAIL_DISPLAY,13,5172556824636
