ticket,order_url,timestamp,in_db
PTEST-181,https://amass.com/35473293371/orders/77dd0fa0330a12e4967c8e8077f403ce,03/Apr/24 7:55 PM,True
PTEST-180,https://badbirdiegolf.com/18839119/orders/c7c72c98904aff7374f5260cba226cb7,03/Apr/24 7:48 PM,True
PTEST-179,https://www.dagnedover.com/2601439/checkouts/bb4383f0d7740e05b7a8e6bc8b5958ad/thank_you,02/Apr/24 8:11 AM,False
PTEST-178,https://blendjet.com/6644334658/checkouts/4079b4fe01f20f54de55d1445e50b3cc/thank_you,02/Apr/24 8:10 AM,False
PTEST-177,https://www.crownaffair.com/checkouts/cn/d867cdd3c64a874203e669cc7c2312f5/thank_you,01/Apr/24 5:55 PM,True
PTEST-176,https://checkout.iliabeauty.com/1272332/checkouts/d75e0c33afe56b5646c8f4ad1270b5ed/thank_you,01/Apr/24 5:54 PM,True
PTEST-175,https://beekman1802.com/checkouts/cn/99a9defeac63758657dc8d413488b876/thank_you,01/Apr/24 7:03 AM,False
PTEST-174,https://www.ettitude.com/19562323/orders/1739e16d387fc28cfb7d0b81ab264875,01/Apr/24 7:00 AM,True
PTEST-173,https://mymedic.com/checkouts/co/6002288f7c1bde619dec9ad584d9e2c4/thank_you,31/Mar/24 11:13 PM,True
PTEST-172,https://www.manduka.com/13235290170/checkouts/e064beaef2020723a8206a147a32f577/thank_you,31/Mar/24 6:38 PM,True
PTEST-171,https://jolieskinco.com/checkouts/cn/8b32e8afc9d6f6d2d4aab2c02c3a4675/thank_you,31/Mar/24 6:37 PM,True
PTEST-170,https://www.buffbunny.com/checkouts/cn/f417432d6dc7593e61c23d49044eeb4b/thank_you,31/Mar/24 1:31 PM,False
PTEST-169,https://www.kosterina.com/checkouts/cn/5c875da6c21a3332dca6f3d844d12b8a/thank_you,31/Mar/24 1:29 PM,False
PTEST-168,https://www.opopop.com/checkouts/co/c29f5270064f84a898b194a1fd1425a6/thank_you,31/Mar/24 12:14 PM,True
PTEST-167,https://store.dsanddurga.com/3797669/orders/f1ece47456eee4974307c2d0e4e409db,31/Mar/24 12:12 PM,True
PTEST-166,https://www.billyreid.com/31437652012/orders/f6c1a903512c0689a5e581f381b9eedc,31/Mar/24 8:00 AM,True
PTEST-165,https://www.kosterina.com/checkouts/cn/acddc91f32f64cbda6a5184744e519f3/thank_you,31/Mar/24 7:58 AM,True
PTEST-164,https://www.brightcellars.com/checkouts/cn/Z2NwLXVzLWVhc3QxOjAxSFQ1VlpaVjc4SjA0RlhBR1ZKUEIzVFNG/thank-you,29/Mar/24 12:51 PM,False
PTEST-163,https://coveyskin.com/checkouts/cn/ab3e2081e0592947b5cb656cddfdd313/thank_you,29/Mar/24 12:40 PM,False
PTEST-162,https://cadenlane.com/12753323/orders/d67bbe689bf06bdcaab86a57e8264507,26/Mar/24 8:50 AM,True
PTEST-161,https://us.hismileteeth.com/15259766/orders/532d4d701d6f5de5f7e25dfd135f6baa,26/Mar/24 8:49 AM,True
PTEST-160,https://fnxfit.com/checkouts/c/4c4a45c4d08f6f5a98e3c1acd00bbfe3/thank_you,25/Mar/24 12:54 PM,True
PTEST-159,https://www.buffbunny.com/checkouts/cn/b45681bf1e9ff5d8b1226fbeeed20122/thank_you,25/Mar/24 12:49 PM,True
PTEST-158,https://vegamour.com/13360857/checkouts/9f2296acf08da56bc0cb56855fd804c7/thank_you,23/Mar/24 10:04 PM,True
