BRAND_NAME,"VERTICAL_DISPLAY_POSITION",BRAND_DISPLAYS,CONV,AD_SPEND
HATCH,16,244,0,0.00
CanDo,177,1,0,0.00
Konny,17,9,0,0.00
"Coco Moon",167,2,0,0.00
"Clover by CLOVE + HALLOW",232,1,0,0.00
Evereden,88,5,0,0.00
LIVELY,135,1,0,0.00
"Viori Beauty",43,24,0,0.00
"Buffbunny Collection",36,101,0,0.00
"Modern Picnic",43,68,0,0.00
"Frog Hollow Farm",108,4,0,0.00
Gibsonlook,105,7,0,0.00
"Dr. Squatch",31,47,0,0.00
Sensate,153,2,0,0.00
"LAY LO™",100,1,0,0.00
"Felix Gray",97,10,0,0.00
"True Made Foods",99,11,0,0.00
"Homesick Candles",87,3,0,0.00
"Why and Whale",58,1,0,0.00
Twillory,219,1,0,0.00
Popadelics,77,6,0,0.00
neoNutritions,213,2,0,0.00
cbdMD,135,1,0,0.00
"Mad Rabbit",231,2,0,0.00
Hydrant,193,1,0,0.00
"Highline Wellness",-1,3276,0,0.00
Blueland,71,2,0,0.00
"Beekman 1802",104,4,0,0.00
"Dollar Shave Club",63,9,0,0.00
"Common Era Jewelry",66,33,0,0.00
"Mented Cosmetics",103,1,0,0.00
"Winky Lux",238,1,0,0.00
iota,132,1,0,0.00
"Gravity Blankets",9,10,0,0.00
"Fresh Peaches",93,3,0,0.00
"Carve Designs",17,386,0,0.00
AVEC,191,1,0,0.00
"Buffbunny Collection",154,2,0,0.00
"Fuse Lenses",24,84,0,0.00
Natemia,71,4,0,0.00
"Ruggish Co.",128,3,0,0.00
"Raw Botanics",213,1,0,0.00
"Nala Care",17,8,0,0.00
Molekule,133,1,0,0.00
"MAXPRO Fitness",6,2483,0,0.00
"Crown Affair",21,81,0,0.00
Licorice,12,699,0,0.00
"Ry & Pen",190,1,0,0.00
CoverFX,57,8,0,0.00
"Dollar Shave Club",210,1,0,0.00
"Dr. Motion",114,11,0,0.00
"Revolution Cooking",141,2,0,0.00
Nanit,14,201,0,0.00
"Trace Minerals",49,19,0,0.00
Vacation®,19,176,0,0.00
iota,44,40,0,0.00
Oeuf,220,2,0,0.00
"Birthdate Co.",63,38,0,0.00
"Mario Badescu Skin Care",218,1,0,0.00
Coterie,124,3,0,0.00
"Coco Moon",11,45,0,0.00
"Nampons LLC",258,1,0,0.00
"Giften Market",172,1,0,0.00
"Oat Mama",10,1,0,0.00
Gooselings,-1,1172,0,0.00
"Chlorophyll Water®",57,1,0,0.00
"KA! Empathogenics",80,10,0,0.00
Gooselings,179,1,0,0.00
"A Kids Co.",27,38,0,0.00
"Blessed Be Magick",208,2,0,0.00
"Corpus Naturals",170,2,0,0.00
Glamnetic,150,2,0,0.00
"Modern Fuel",67,2,0,0.00
"Tini Lux",64,7,0,0.00
CoverFX,53,49,0,0.00
"D.S. & Durga",66,14,0,0.00
INBLOOM,99,7,0,0.00
"NOTO Botanics",53,11,0,0.00
Amberjack,21,61,0,0.00
Moonglow,122,4,0,0.00
"Baby Tula",12,143,0,0.00
"Frog Hollow Farm",112,52,0,0.00
"KA! Empathogenics",121,1,0,0.00
Licorice,43,35,0,0.00
"Distil Union",208,1,0,0.00
Natemia,48,8,0,0.00
Oradina,94,18,0,0.00
BuddyLove,131,2,0,0.00
12|12,106,5,0,0.00
"Alpyn Beauty",143,2,0,0.00
iota,173,5,0,0.00
M.M.LaFleur,187,2,0,0.00
Carbon38,40,7,0,0.00
"Tinto Amorio",235,2,0,0.00
"Dr Sari's Lunar Sync",5,22,0,0.00
"Giften Market",39,3,0,0.00
"Surely Wines",143,2,0,0.00
FullWell,95,3,0,0.00
KraveBeauty,83,3,0,0.00
"Moon Pals",109,6,0,0.00
CanDo,188,1,0,0.00
Twillory,66,7,0,0.00
"Hello Cake",194,1,0,0.00
"Lily Jade",155,1,0,0.00
CoverFX,23,23,0,0.00
Esker,111,5,0,0.00
Cadence,108,2,0,0.00
ezpz,63,17,0,0.00
"WP Standard",5,22,0,0.00
Kindra,104,3,0,0.00
"Monica & Andy Inc.",157,1,0,0.00
Kosterina,101,3,0,0.00
"SoaPen Inc",-1,52,0,0.00
"Clover by CLOVE + HALLOW",110,6,0,0.00
Kijibae,36,1,0,0.00
Vacation®,202,1,0,0.00
"Love Your Melon",75,1,0,0.00
"Airo Collective",230,1,0,0.00
ILYSM,141,1,0,0.00
jot,26,130,0,0.00
Caraway,38,70,0,0.00
Hydrant,115,4,0,0.00
Divi,38,23,0,0.00
Giapenta,247,2,0,0.00
Bala,93,10,0,0.00
Koio,53,42,0,0.00
Bloomscape,64,30,0,0.00
Dakine,142,5,0,0.00
"Luca Faloni",202,3,0,0.00
"Blessed Be Magick",94,1,0,0.00
UPSAINT,192,1,0,0.00
"Pulp Pantry",56,2,0,0.00
"Captain Blankenship",5,9,0,0.00
"Billy Reid",28,69,0,0.00
Ekster,40,1,0,0.00
"Rif Care",243,2,0,0.00
"Hedley & Bennett",50,38,0,0.00
"Finn + Emma",53,6,0,0.00
"Oat Mama",187,1,0,0.00
"Flying Embers",41,10,0,0.00
"Baby Tula",26,375,0,0.00
"Blessed Be Magick",158,1,0,0.00
Evereden,42,70,0,0.00
Amberjack,121,11,0,0.00
"Serenity Kids",57,20,0,0.00
"Siete Foods",34,115,0,0.00
"Matador Meggings",77,4,0,0.00
"Out of the Woods",71,7,0,0.00
LuminAID,185,1,0,0.00
Evereden,62,26,0,0.00
"Mented Cosmetics",240,1,0,0.00
"Ellie & Becks",112,5,0,0.00
"True Botanicals",69,3,0,0.00
SENREVE,15,377,0,0.00
"Captain Blankenship",195,2,0,0.00
Sijo,122,3,0,0.00
"Kate Quinn",70,3,0,0.00
ByHeart,145,1,0,0.00
"Finn + Emma",12,120,0,0.00
12|12,19,16,0,0.00
"Leeway Home",36,5,0,0.00
"Maverick & Co.",31,26,0,0.00
"Kortni Jeane",109,1,0,0.00
"TUSOL Wellness",289,1,0,0.00
"Dr. Squatch",25,112,0,0.00
"The Plug Drink",213,1,0,0.00
Golde,137,3,0,0.00
"Little Words Project",174,1,0,0.00
"ELVY Lab",88,13,0,0.00
Spyder,69,12,0,0.00
Alkavida,151,2,0,0.00
"NOT!CE Hair Co",100,3,0,0.00
"Modern Fuel",181,1,0,0.00
Juna,119,1,0,0.00
eeBoo,147,1,0,0.00
"Les Belles",27,2,0,0.00
"Year & Day",52,16,0,0.00
"Spice Tribe",113,9,0,0.00
Lunya,73,5,0,0.00
"Petunia Pickle Bottom",95,2,0,0.00
"Tinto Amorio",1,12,0,0.00
"Rif Care",83,1,0,0.00
Snibbs,47,3,0,0.00
ILIA,115,2,0,0.00
"Reel Paper",132,1,0,0.00
Spyder,51,23,0,0.00
Amberjack,82,1,0,0.00
"Uncharted Coffee Supply",76,1,0,0.00
"Yana Sleep",66,8,0,0.00
"Seafolly Australia",179,1,0,0.00
Andie,102,1,0,0.00
Nanit,88,2,0,0.00
"Wren + Glory",108,2,0,0.00
"LAY LO™",117,1,0,0.00
eeBoo,38,11,0,0.00
"Yana Sleep",96,10,0,0.00
Gooselings,230,1,0,0.00
Stix,31,1,0,0.00
"California Arts",29,27,0,0.00
FRANC,33,2,0,0.00
"Once Upon a Farm",48,11,0,0.00
"Coffee Bros.",199,2,0,0.00
"ELVY Lab",94,74,0,0.00
"IVL Collective",205,1,0,0.00
"Dirty Labs",191,1,0,0.00
Shinesty,33,54,0,0.00
ILIA,148,1,0,0.00
iloveplum,0,300,0,0.00
"Beyond Polish",105,1,0,0.00
"Natalist Co.",207,1,0,0.00
"Thousand Fell",60,12,0,0.00
"Bad Birdie",47,101,0,0.00
"Green Paper Products",25,13,0,0.00
Gathre,156,1,0,0.00
Evergreen,99,16,0,0.00
"Sprout Living",90,1,0,0.00
Blueland,30,220,0,0.00
eeBoo,74,8,0,0.00
"Modern Fuel",100,4,0,0.00
"Dagne Dover",68,13,0,0.00
"Nampons LLC",172,2,0,0.00
AAVRANI,111,5,0,0.00
"Red Racer Books",237,1,0,0.00
"Naked & Thriving Skincare",15,3,0,0.00
"Sprout Living",242,1,0,0.00
"A Kids Co.",175,2,0,0.00
ByHeart,66,13,0,0.00
"Frog Hollow Farm",54,3,0,0.00
epi.logic,52,1,0,0.00
Bodily,51,28,0,0.00
"Coco Moon",106,8,0,0.00
SENREVE,76,15,0,0.00
Lalo,57,23,0,0.00
"Tini Lux",61,10,0,0.00
M.M.LaFleur,124,1,0,0.00
"Nutshell Coolers",80,3,0,0.00
